ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΡΑΨΑΝΙΩΤΗΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΚΑΖΑΜΙΑ ΕΙΡΗΝΗ του Εμμανουήλ,ΠΛΑΚΑΝΤΩΝΑΚΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΣΤΑΥΡΑΚΑΚΗ - ΛΟΥΤΡΙΑΝΑΚΗ ΧΡΥΣΗ του Δημητρίου,Νέα Δημοκρατία,ΛΑΓΚΩΝΑΚΗ ΜΑΡΙΑ (ΜΑΙΡΗ) του Εμμανουήλ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΝΕΚΤΑΡΙΟΣ του Θεόφιλου,ΠΑΠΑΚΑΛΟΥΣΗ - ΔΙΑΛΥΝΑ ΜΑΡΙΑ (ΜΑΙΡΗ) του Αχιλλέα,ΠΛΑΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΣΥΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου ,ΣΥΜΕΩΝΑΚΗ ΣΤΕΦΑΝΙΑ του Χριστόφορου,Κίνημα Αλλαγής,ΑΝΔΡΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ (ΣΟΥΛΑ) του Νικολάου,ΕΙΚΟΣΙΠΕΝΤΑΚΗΣ ΘΕΟΦΑΝΗΣ (ΦΑΝΗΣ) του Αντωνίου,ΚΛΩΝΤΖΑΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΨΥΛΛΙΝΑΚΗ - ΜΑΓΟΥΛΗ ΘΕΟΚΛΕΙΑ (ΚΛΑΙΡΗ) του Μιχαήλ,Κ.Κ.Ε.,ΑΒΔΗ ΕΛΕΝΗ του Ρωμύλου,ΔΑΛΑΒΕΡΟΥ - ΚΑΡΥΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΣΠΗΛΙΑΡΩΤΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΥΜΕΩΝΙΔΗΣ ΣΥΜΕΩΝ του Κωνσταντίνου,Ένωση Κεντρώων,ΑΠΟΣΤΟΛΙΔΟΥ ΒΑΣΙΛΕΙΑ του Χαραλάμπους,ΑΡΜΕΝΑΚΗΣ ΜΑΡΚΟΣ του Νικολάου,ΚΑΠΑΝΤΑΪΔΑΚΗ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΤΙΣΤΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΕΡΟΥΛΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΖΙΚΑ ΕΛΕΝΗ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΟΥΝΔΟΥΡΑΚΗΣ ΜΑΡΙΟΣ του Γεωργίου,ΠΕΔΙΑΔΙΤΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΣΙΑΓΚΑ ΕΥΑΓΓΕΛΙΑ του Σταμάτη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΝΕΙΑΤΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΞΕΡΑΚΗ ΠΑΡΘΕΝΑ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΔΕΛΟΓΚΟΣ ΘΕΟΔΩΡΟΣ του Ευστρατίου,ΠΑΞΙΜΑΔΑΚΗ ΚΑΛΛΙΟΠΗ του Επαμεινώνδα,Μ-Λ Κ.Κ.Ε.,ΚΟΡΝΑΡΟΣ ΜΙΛΤΙΑΔΗΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΕΥΑΓΓΕΛΙΔΑΚΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΚΟΥΤΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΜΑΥΡΙΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Λαϊκή Ενότητα,ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Συμεών,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ ΚΑΛΛΙΟΠΗ (ΚΑΛΗ) του Χρήστου,ΜέΡΑ25,ΖΩΓΡΑΦΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΜΠΟΥΡΛΑΚΗ - ΚΥΡΟΥΔΗ ΝΕΦΕΛΗ του Παράσχου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΔΡΟΥΛΙΔΑΚΗΣ ΜΑΤΘΑΙΟΣ του Γεωργίου,ΜΑΥΡΟΥ ΕΛΕΝΗ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΡΥΣΤΑΛΑΝΤΟΥ ΠΟΛΥΞΕΝΗ του Αναστασίου
56 - Λασιθίου,17 E.T. Δήμου Αγίου Νικολάου,546,342,3,4,7,335,107,77,5,6,4,127,0,25,5,79,5,2,0,41,10,0,26,0,20,6,1,1,1,3,0,0,0,0,0,2,0,1,3,0,3,0,0,5,2,0,0,0,0,0,0,4,1,1,0,2,3,2,0,9,3,2,3,1,0,3,0
56 - Λασιθίου,18 E.T. Δήμου Αγίου Νικολάου,234,152,2,5,7,145,61,51,2,2,1,59,0,9,0,48,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56 - Λασιθίου,19 E.T. Δήμου Αγίου Νικολάου,481,310,7,1,8,302,88,58,9,4,4,131,2,12,4,99,2,0,1,54,9,0,40,1,6,1,0,0,3,4,0,0,2,0,0,0,0,0,1,0,0,1,0,3,2,1,4,4,0,0,0,1,0,0,0,1,0,0,0,7,3,1,1,1,0,0,0
56 - Λασιθίου,20 E.T. Δήμου Αγίου Νικολάου,481,314,9,1,10,304,58,39,1,4,0,109,1,7,3,87,5,0,0,91,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,12,0,0,0,0,4,0,0,9,0,0,1,0,0,1,0
56 - Λασιθίου,21 E.T. Δήμου Αγίου Νικολάου,476,339,4,3,7,332,85,59,5,5,2,112,0,12,2,86,2,1,0,89,14,1,68,3,7,4,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,4,1,1,1,0,0,0,14,0,0,0,14,0,0,0,12,6,1,0,0,0,3,2
56 - Λασιθίου,22 E.T. Δήμου Αγίου Νικολάου,252,169,1,2,3,166,71,55,1,3,2,56,0,5,2,42,2,0,0,23,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56 - Λασιθίου,23 E.T. Δήμου Αγίου Νικολάου,155,109,3,0,3,106,37,34,0,1,0,41,0,9,1,28,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
56 - Λασιθίου,24 E.T. Δήμου Αγίου Νικολάου,129,63,0,1,1,62,16,10,0,1,1,21,1,2,0,17,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56 - Λασιθίου,25 E.T. Δήμου Αγίου Νικολάου,562,355,8,4,12,343,125,101,2,9,1,110,1,19,1,76,5,3,0,36,2,1,26,1,5,1,1,0,2,3,0,1,2,0,0,0,0,0,7,2,2,3,0,17,9,4,2,0,2,0,0,8,0,2,1,3,2,2,0,17,7,1,0,0,0,6,3
56 - Λασιθίου,26 E.T. Δήμου Αγίου Νικολάου,532,324,4,6,10,314,106,70,2,10,2,82,3,15,0,50,6,0,0,51,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,9,0
56 - Λασιθίου,27 E.T. Δήμου Αγίου Νικολάου,466,313,7,3,10,303,121,103,0,1,2,62,0,16,0,39,4,1,0,70,5,0,58,2,6,2,0,1,0,0,0,0,0,0,0,3,1,2,5,0,1,3,0,13,7,2,0,0,0,0,0,2,0,1,0,0,4,2,0,7,2,1,1,0,0,5,3
56 - Λασιθίου,28 E.T. Δήμου Αγίου Νικολάου,461,310,1,3,4,306,100,69,4,1,2,87,3,15,1,57,3,0,0,80,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,4,0
56 - Λασιθίου,29 E.T. Δήμου Αγίου Νικολάου,429,277,6,1,7,270,85,65,2,3,0,68,4,8,1,43,10,4,4,59,3,0,51,0,13,0,0,1,5,2,0,0,0,0,0,0,0,0,2,0,0,1,0,14,7,0,1,0,0,0,0,2,0,1,0,1,3,3,0,6,3,0,1,0,0,4,0
56 - Λασιθίου,30 E.T. Δήμου Αγίου Νικολάου,460,303,6,7,13,290,108,83,1,4,2,56,3,11,0,38,7,0,2,62,7,0,53,0,28,6,0,0,12,3,1,2,0,1,1,0,0,0,3,0,1,2,0,6,3,2,1,0,0,0,0,3,0,0,1,1,3,3,0,5,0,1,2,0,0,2,0
56 - Λασιθίου,31 E.T. Δήμου Αγίου Νικολάου,465,336,6,1,7,329,120,85,2,2,5,95,1,14,0,67,1,0,0,69,3,0,61,3,18,1,1,1,6,1,0,0,1,2,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,2,1,1,0,0,0,1,2,2,0,4,0,0,3,1,0,4,2
56 - Λασιθίου,32 E.T. Δήμου Αγίου Νικολάου,119,88,1,4,5,83,24,22,0,1,0,49,0,1,2,45,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
56 - Λασιθίου,33 E.T. Δήμου Αγίου Νικολάου,551,395,4,7,11,384,204,155,1,1,1,85,2,13,2,59,6,0,0,35,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,11,0,0,3,0,0,5,0
56 - Λασιθίου,34 E.T. Δήμου Αγίου Νικολάου,433,278,2,3,5,273,74,42,1,5,2,72,0,4,4,52,17,12,2,69,1,0,62,1,9,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,0,1,0,0,5,0
56 - Λασιθίου,35 E.T. Δήμου Αγίου Νικολάου,116,53,2,1,3,50,20,11,1,1,1,12,0,0,3,8,0,0,0,12,2,0,8,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
56 - Λασιθίου,36 E.T. Δήμου Αγίου Νικολάου,306,210,2,1,3,207,83,68,1,2,0,69,1,6,2,50,5,0,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
56 - Λασιθίου,37 E.T. Δήμου Αγίου Νικολάου,180,110,2,0,2,108,44,28,1,3,2,34,2,2,1,27,2,1,0,16,3,0,10,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
56 - Λασιθίου,38 E.T. Δήμου Αγίου Νικολάου,166,104,3,3,6,98,34,18,1,6,0,26,3,3,2,14,5,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
56 - Λασιθίου,39 E.T. Δήμου Αγίου Νικολάου,497,313,7,0,7,306,138,74,4,16,5,99,4,17,3,68,7,4,1,30,10,1,15,1,12,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,4,4,0,0,0,2,1
56 - Λασιθίου,40 E.T. Δήμου Αγίου Νικολάου,456,273,4,0,4,269,109,69,5,5,6,88,0,25,9,45,16,0,0,16,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,8,0,0,1,0,0,3,0
56 - Λασιθίου,41 E.T. Δήμου Αγίου Νικολάου,285,191,1,2,3,188,80,40,3,4,4,59,1,7,4,42,3,0,0,11,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,11,0,0,1,0,0,1,0
56 - Λασιθίου,42 E.T. Δήμου Αγίου Νικολάου,511,345,6,8,14,331,88,41,7,7,4,133,1,39,25,51,13,0,0,40,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,8,0,0,0,0,4,0,0,9,0,0,3,0,0,7,0
56 - Λασιθίου,43 E.T. Δήμου Αγίου Νικολάου,536,327,8,5,13,314,134,75,8,13,6,107,5,35,14,45,7,3,2,39,8,1,25,4,5,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,2,0,0,0,0,0,1,1,0,0,0,1,0,0,7,2,3,1,0,0,2,1
56 - Λασιθίου,44 E.T. Δήμου Αγίου Νικολάου,534,317,12,1,13,304,85,44,6,7,6,113,2,26,22,56,2,0,0,56,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,8,0
56 - Λασιθίου,45 E.T. Δήμου Αγίου Νικολάου,538,305,9,3,12,293,84,50,6,2,3,108,1,29,19,50,11,2,5,33,3,1,19,2,8,1,0,1,3,5,1,1,0,0,0,0,0,0,2,0,1,0,0,5,1,0,0,0,0,0,0,6,0,3,0,1,4,2,2,8,2,1,12,2,2,7,5
56 - Λασιθίου,46 E.T. Δήμου Αγίου Νικολάου,534,323,3,1,4,319,123,73,6,8,9,118,0,42,19,46,4,0,0,35,0,0,0,0,11,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,4,0,0,0,0,0,5,0
56 - Λασιθίου,48 E.T. Δήμου Αγίου Νικολάου,88,40,0,1,1,39,11,7,0,0,2,16,0,5,1,9,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56 - Λασιθίου,49 E.T. Δήμου Αγίου Νικολάου,100,61,0,0,0,61,27,9,2,1,3,22,1,1,2,15,4,4,0,6,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56 - Λασιθίου,50 E.T. Δήμου Αγίου Νικολάου,311,199,4,2,6,193,57,26,1,8,3,56,0,9,14,27,4,1,0,50,7,0,41,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,4,1,1,0,2,2,0,0,12,1,1,0,0,0,3,2
56 - Λασιθίου,51 E.T. Δήμου Αγίου Νικολάου,323,192,2,0,2,190,51,27,3,4,5,99,2,27,8,53,2,2,0,18,4,1,11,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,6,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,2,1
