ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΟΥΖΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΜΑΛΤΕΖΟΣ ΓΡΗΓΟΡΙΟΣ του Θεμιστοκλή,ΜΠΑΪΡΑΜΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΠΕΝΕΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΡΕΠΟΥΣΗ ΜΑΡΙΑ του Βασιλείου,ΣΤΑΜΑΤΑΚΗ ΕΛΕΝΗ του Παναγιώτη,Νέα Δημοκρατία,ΑΒΡΑΝΤΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Ιωάννη,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου ,ΚΑΛΑΓΙΑ ΜΑΡΙΑ του Ηλία,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ  του Πέτρου ,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΠΟΥΤΣΙΚΑΚΗΣ ΧΡΙΣΤΟΦΟΡΟΣ-ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΡΟΥΣΣΟΥ ΖΩΗ του Ευαγγέλου-Αντωνίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΤΖΟΓΛΟΥ ΣΤΥΛΙΑΝΟΣ του Μιχαήλ,ΚΑΤΣΟΥΛΗ ΠΑΓΩΝΑ του Γεωργίου,ΚΟΥΖΗΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΜΑΥΡΟΜΜΑΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΝΙΑΟΥΡΗ ΜΑΡΙΑ του Χρήστου,ΞΗΡΑΚΙΑ ΑΝΔΡΙΑΝΗ του Λάμπρου,ΠΟΤΟΥΡΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ανδρέα,Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΑΝΑΓΝΩΣΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σταματίου,ΑΡΚΑΛΑΚΗ ΑΡΓΥΡΩ (ΡΟΥΛΑ) του Ευτυχίου ,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΜΑΝΟΥΣΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωάννη,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ του Ηλία,ΧΡΥΣΟΦΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ιακώβου,Κ.Κ.Ε.,ΔΙΓΕΝΗ ΑΣΗΜΙΝΑ (ΣΕΜΙΝΑ) του Αναστασίου ,ΚΑΡΠΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΑΝΟΥΣΟΓΙΑΝΝΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,ΜΑΡΟΥΠΑΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου ,ΜΟΦΟΡΗΣ ΓΡΗΓΟΡΙΟΣ του Σταύρου,ΞΕΚΑΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου ,ΠΑΝΤΕΛΑΚΗ ΕΛΠΙΔΑ του Αντωνίου,ΧΑΤΖΗΔΑΚΗ ΕΥΤΥΧΙΑ του Γεωργίου ,Ένωση Κεντρώων,ΒΕΡΥΚΑΚΗ ΕΛΛΑΣ (ΕΛΙΝΑ) του Γεωργίου ,ΚΑΡΑΚΑΤΣΑΝΗΣ ΑΠΟΣΤΟΛΟΣ του Μιχαήλ,ΜΠΑΛΑΣΚΑΣ ΑΡΙΣΤΟΜΕΝΗΣ του Παναγιώτη ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΙΜΟΣ ΙΩΑΝΝΗΣ του Ευγενίου ,ΤΡΑΚΑΚΗ ΑΓΓΕΛΙΚΗ του Δημητρίου ,ΨΩΜΑ ΣΤΥΛΙΑΝΗ (ΣΤΕΛΛΑ) του Φωτίου ,Ο.Κ.Δ.Ε.,ΤΣΟΛΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΑΝΑΣΤΑΣΙΑΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου ,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ (ΦΥΛΛΙΑ) του Γεωργίου ,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού ,ΜΑΚΡΗΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου ,ΜΠΕΣΗΣ ΠΑΥΛΟΣ ΑΝΔΡΕΑΣ του Σπύρου Νεκταρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΓΑ του Γεωργίου,ΠΥΛΑΡΙΝΟΥ ΔΙΟΝΥΣΙΑ του Γεωργίου ,Ελλήνων Συνέλευσις,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΚΟΥΡΤΕΣΗΣ ΑΛΕΞΑΝΔΡΟΣ του Δημοσθένη ,ΜΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου ,ΜΠΟΥΜΠΟΥΛΗ ΜΑΡΙΑ του Χρύσανθου,ΤΣΙΑΜΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου ,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΕΥΣΤΑΘΙΟΥ - ΓΕΩΡΓΙΟΥ ΜΑΡΙΑ του Χρήστου ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΜΟΛΕΓΚΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου ,ΚΙΣΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου ,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου ,ΠΑΝΤΕΛΑΡΟΣ ΘΕΟΔΟΣΙΟΣ του Ισιδώρου,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου ,ΦΡΑΓΚΙΑΔΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,ΨΩΜΑΤΑΚΗ ΝΙΚΗ του Θεοδώρου ,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΟΥ ΒΑΣΙΛΙΚΗ του Χρήστου ,ΜΠΕΛΕΣΗ ΧΡΥΣΟΥΛΑ - ΧΡΥΣΑΦΩ του Γεωργίου ,ΤΣΟΥΓΚΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Προδρόμου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου ,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΙΩΑΝΝΙΔΟΥ ΠΟΛΥΞΕΝΗ (ΞΕΝΙΑ) του Ιωάννου,ΚΡΕΜΑΣΤΙΩΤΟΥ ΕΛΕΝΗ του Παύλου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου ,ΣΤΕΡΓΙΟΥΛΗ ΧΑΡΙΚΛΕΙΑ του Μιχαήλ ,ΣΤΕΦΑΝΟΥ ΓΕΩΡΓΙΟΣ του Χαράλαμπου ,ΦΟΥΝΤΟΥΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου ,Λαϊκή Ενότητα,ΑΜΙΡΑΛΗΣ ΕΛΕΥΘΕΡΙΟΣ του Εμμανουήλ,ΚΑΛΛΙΜΑΓΕΙΡΟΥ ΕΛΕΥΘΕΡΙΑ του Αναστασίου ,ΚΑΝΤΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Βασιλείου ,ΜΠΑΔΟΓΙΑΝΝΗΣ ΠΡΟΚΟΠΙΟΣ (ΑΚΗΣ) του Γεωργίου ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ευστρατίου ,ΠΕΤΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου ,ΜέΡΑ25,ΖΟΥΓΑΝΕΛΗ ΠΑΝΑΓΙΩΤΑ (ΠΟΛΑ) του Νικολάου ,ΚΑΝΑΡΕΛΗΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου ,ΚΥΡΙΑΚΙΔΗΣ ΙΩΑΝΝΗΣ  του Ευσταθίου ,ΠΑΡΤΑΚΤΖΟΓΛΟΥ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΣΤΡΑΤΟΥ ΔΑΝΑΗ του Φαίδωνα,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου ,Δημιουργία ξανά - Θ. Τζήμερος,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ του Γεωργίου ,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΓΡΙΒΑ ΒΑΣΙΛΙΚΗ του Λεωνίδα,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΜΠΙΜΠΙΛΑΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου 
40 - Α' Πειραιώς,20 E.T. Δήμου Πειραιώς,531,310,3,3,6,304,97,14,22,43,5,7,6,22,22,118,12,21,10,61,18,25,26,14,16,6,5,6,0,0,3,2,17,0,2,2,1,4,3,2,4,12,7,1,1,1,1,0,1,2,12,2,1,1,0,5,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,2,3,1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,1,0,2,1,1,0,0,1,0,11,3,3,3,0,5,1,2,2,0,0,6,4
40 - Α' Πειραιώς,21 E.T. Δήμου Πειραιώς,541,331,14,1,15,316,73,15,14,33,2,7,10,11,7,176,9,52,14,82,38,37,24,17,6,2,1,2,1,0,0,0,18,0,4,4,1,5,8,4,0,10,5,0,1,0,0,1,4,2,6,2,1,3,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,3,0,2,0,0,2,0,10,1,1,3,0,4,1,1,0,0,0,5,2
40 - Α' Πειραιώς,22 E.T. Δήμου Πειραιώς,555,320,5,1,6,314,85,15,13,30,7,4,8,29,18,146,10,20,4,72,30,30,26,16,13,7,3,7,3,1,1,3,11,1,4,1,0,3,3,2,4,20,14,2,2,1,3,1,8,2,9,2,2,1,0,3,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,1,0,6,2,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,5,1,1,0,0,2,1,5,2,0,0,5,2
40 - Α' Πειραιώς,23 E.T. Δήμου Πειραιώς,569,291,6,0,6,285,79,17,16,33,6,3,14,23,15,129,15,29,10,51,20,28,18,15,14,5,2,4,0,6,3,1,18,0,2,5,3,3,5,2,3,15,9,0,0,3,1,0,5,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,10,4,3,2,3,3,1,0,0,0,0,8,6
40 - Α' Πειραιώς,24 E.T. Δήμου Πειραιώς,549,284,7,4,11,273,88,13,19,38,3,9,7,17,19,127,16,30,15,53,15,25,26,20,7,1,2,3,0,2,1,0,9,1,3,4,0,2,2,1,0,15,9,0,0,1,2,0,7,1,3,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,1,5,1,3,1,0,0,5,4
40 - Α' Πειραιώς,25 E.T. Δήμου Πειραιώς,537,289,2,1,3,286,87,9,14,30,9,5,12,30,27,120,15,17,26,45,25,23,22,20,6,1,0,1,2,0,2,1,11,3,4,2,0,4,4,2,1,22,12,0,1,5,1,0,3,1,5,2,0,0,0,0,2,1,1,0,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11,4,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,2,1,3,2,2,0,0,0,7,0
40 - Α' Πειραιώς,26 E.T. Δήμου Πειραιώς,534,299,3,2,5,294,87,16,14,33,7,8,13,24,18,146,18,32,16,71,25,31,19,10,7,3,1,4,1,0,0,0,6,1,0,0,1,2,0,0,1,15,12,0,1,1,3,0,4,1,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,2,3,1,1,0,2,2,0,15,1,2,4,4,5,6,0,0,0,0,2,0
40 - Α' Πειραιώς,27 E.T. Δήμου Πειραιώς,532,286,5,3,8,278,62,10,14,32,6,4,3,11,16,154,21,25,16,69,35,35,35,18,5,1,1,2,0,1,2,0,10,1,3,2,1,1,1,0,2,9,6,0,2,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,0,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,2,0,11,7,2,2,0,2,2,3,2,0,0,10,5
40 - Α' Πειραιώς,28 E.T. Δήμου Πειραιώς,535,289,6,2,8,281,80,12,18,26,5,9,13,15,13,135,14,31,13,54,32,29,19,23,7,4,0,1,0,1,1,2,13,1,2,0,2,4,6,2,4,7,6,0,2,0,0,0,1,2,8,1,0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,11,2,2,0,2,7,3,2,0,0,0,6,4
40 - Α' Πειραιώς,29 E.T. Δήμου Πειραιώς,555,305,7,5,12,293,75,25,11,27,4,6,9,19,21,141,10,24,10,65,29,38,22,21,6,3,0,2,1,2,1,0,9,0,1,2,0,3,5,3,1,12,7,1,2,1,1,1,3,0,6,2,1,1,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,1,0,2,1,3,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,13,5,2,2,1,5,2,2,1,0,0,11,4
40 - Α' Πειραιώς,30 E.T. Δήμου Πειραιώς,554,293,3,1,4,289,83,19,18,29,4,7,10,18,16,135,19,29,36,57,19,30,17,13,5,2,0,1,0,0,0,1,15,1,2,1,1,7,4,0,4,13,5,0,4,2,0,2,6,2,5,0,1,0,0,2,1,0,0,0,5,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,11,6,1,1,1,4,1,1,1,0,0,7,2
40 - Α' Πειραιώς,31 E.T. Δήμου Πειραιώς,540,297,2,3,5,292,82,8,19,28,4,2,10,22,12,131,11,24,10,55,20,30,24,8,13,8,3,3,1,1,1,0,19,4,5,2,1,5,10,2,4,11,4,0,0,0,1,1,5,1,6,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,13,4,3,1,2,3,2,4,1,0,0,4,1
40 - Α' Πειραιώς,32 E.T. Δήμου Πειραιώς,570,304,1,1,2,302,83,8,12,36,6,5,8,15,17,136,6,30,8,56,24,32,21,25,11,4,2,6,0,0,2,1,14,1,2,1,3,2,5,0,0,8,4,1,1,1,0,0,3,3,11,2,1,2,0,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,18,7,2,3,0,5,1,3,2,0,0,1,0
40 - Α' Πειραιώς,33 E.T. Δήμου Πειραιώς,569,291,7,2,9,282,68,18,10,23,6,8,3,15,14,127,15,18,16,47,27,21,21,18,7,2,1,0,0,2,1,0,24,4,2,2,4,7,10,4,5,13,8,0,0,1,0,1,5,1,4,0,0,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,17,4,1,2,0,8,2,7,0,0,0,4,2
40 - Α' Πειραιώς,34 E.T. Δήμου Πειραιώς,566,301,4,4,8,293,95,19,17,34,9,8,8,17,15,119,17,20,13,54,21,36,20,10,7,3,1,2,1,1,0,0,22,2,5,4,1,10,9,4,4,20,9,0,2,0,0,2,9,4,2,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1,1,1,1,5,3,0,0,0,0,4,3
40 - Α' Πειραιώς,35 E.T. Δήμου Πειραιώς,567,313,3,5,8,305,83,9,19,31,5,8,8,9,18,144,13,25,17,59,30,27,19,14,12,3,2,4,0,0,0,1,15,1,5,1,3,3,5,2,0,10,5,1,3,1,1,1,2,0,6,1,2,0,1,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,1,3,2,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,17,6,0,0,1,3,6,4,2,0,0,1,0
40 - Α' Πειραιώς,36 E.T. Δήμου Πειραιώς,560,296,4,3,7,289,83,22,10,36,4,4,6,25,12,117,13,23,9,49,30,26,14,13,11,3,2,5,1,1,1,1,18,1,1,4,0,2,9,1,4,16,11,0,2,1,3,0,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10,2,0,1,2,5,2,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,5,3,0,2,5,1,0,0,0,0,10,6
40 - Α' Πειραιώς,37 E.T. Δήμου Πειραιώς,532,293,3,0,3,290,82,15,13,26,6,0,17,16,15,108,6,21,11,52,29,21,9,19,15,9,4,3,1,3,0,1,11,1,1,1,2,3,3,0,4,21,11,4,2,1,2,2,10,4,6,1,2,3,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,6,3,1,1,8,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,15,5,2,3,4,7,1,4,3,0,0,6,5
40 - Α' Πειραιώς,38 E.T. Δήμου Πειραιώς,569,354,5,1,6,348,125,16,24,34,10,8,7,25,25,134,11,27,12,61,21,26,24,15,10,3,1,1,1,1,2,0,18,3,5,3,4,2,6,0,5,17,8,1,1,1,0,2,3,2,6,1,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,14,4,1,1,1,8,1,3,1,0,0,8,4
40 - Α' Πειραιώς,39 E.T. Δήμου Πειραιώς,549,307,3,0,3,304,101,19,18,33,4,10,8,23,17,125,13,27,18,48,25,32,16,10,11,6,3,5,1,1,0,0,16,0,1,3,4,1,7,0,0,13,2,0,1,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,2,0,4,2,0,5,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,12,7,1,3,1,5,1,3,1,0,0,5,3
40 - Α' Πειραιώς,40 E.T. Δήμου Πειραιώς,548,321,4,2,6,315,128,11,16,47,11,7,14,31,24,107,9,16,10,55,19,25,16,13,10,2,1,4,1,1,1,1,18,1,4,0,6,5,4,1,1,10,6,1,1,1,0,0,3,0,6,5,2,2,1,0,1,0,0,0,5,2,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,6,1,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,16,5,2,2,2,3,3,0,0,0,0,4,2
40 - Α' Πειραιώς,41 E.T. Δήμου Πειραιώς,560,313,3,0,3,310,111,18,18,41,7,5,14,25,24,117,14,17,10,61,14,30,9,16,6,2,1,2,1,0,1,0,18,1,7,6,2,3,1,1,5,7,4,1,1,2,0,0,0,2,8,3,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,8,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,4,1,2,0,1,2,2,2,2,0,0,0,0,0,12,5,2,1,1,4,1,4,1,0,0,10,5
40 - Α' Πειραιώς,42 E.T. Δήμου Πειραιώς,565,311,5,2,7,304,100,16,14,39,5,1,11,20,17,125,9,25,13,48,31,31,12,17,7,3,1,3,2,1,0,2,16,1,1,0,1,6,4,3,4,10,2,0,0,0,1,1,4,1,6,1,0,3,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,2,1,0,0,0,0,17,5,1,2,3,5,3,1,1,0,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,11,5,0,1,0,3,2,0,0,0,0,5,3
40 - Α' Πειραιώς,43 E.T. Δήμου Πειραιώς,568,306,6,1,7,299,101,21,24,48,8,6,9,31,14,119,10,17,7,63,15,30,26,14,15,9,2,5,0,3,0,1,13,1,3,2,0,7,0,2,3,11,6,1,2,2,0,1,4,2,7,2,0,2,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,10,4,1,2,1,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,6,1,1,2,2,3,0,0,0,0,8,5
40 - Α' Πειραιώς,44 E.T. Δήμου Πειραιώς,570,305,6,2,8,297,99,10,19,39,2,4,13,22,15,128,7,14,15,63,17,32,14,19,3,1,0,0,2,1,0,1,17,3,2,1,0,6,6,0,2,15,8,0,2,2,0,1,6,1,5,1,2,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,3,0,1,1,0,0,7,5
40 - Α' Πειραιώς,45 E.T. Δήμου Πειραιώς,567,318,3,1,4,314,111,15,16,50,8,11,13,34,30,114,8,21,8,61,18,30,21,17,6,2,2,3,0,0,1,1,18,2,5,3,1,8,2,1,5,16,2,6,1,1,1,1,4,1,7,0,1,1,1,6,1,0,0,0,3,1,1,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,15,7,5,0,0,8,4,2,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,3,2,1,0,1,1,0,10,3,1,1,0,3,1,3,0,0,0,4,3
40 - Α' Πειραιώς,46 E.T. Δήμου Πειραιώς,570,347,4,1,5,342,111,20,18,29,10,6,14,14,12,153,9,24,10,55,32,26,23,11,12,4,2,4,0,4,0,0,8,0,3,0,0,3,2,1,1,11,6,0,1,3,0,0,4,0,2,1,1,0,0,0,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5,0,0,0,5,2,3,0,2,0,1,0,1,0,0,3,0,1,1,0,0,1,2,0,1,0,0,0,1,13,2,0,0,1,4,3,0,0,0,0,9,1
40 - Α' Πειραιώς,47 E.T. Δήμου Πειραιώς,567,309,7,1,8,301,103,10,17,28,8,9,11,19,16,123,13,25,8,53,31,28,15,21,8,5,3,3,0,2,0,2,12,1,1,2,1,1,4,1,4,20,7,2,3,1,0,1,6,3,7,0,2,0,0,2,1,0,0,0,3,0,0,2,0,1,0,0,1,2,0,1,0,0,0,1,0,0,7,3,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,4,2,1,0,0,0,2,2
40 - Α' Πειραιώς,48 E.T. Δήμου Πειραιώς,552,322,2,1,3,319,77,11,20,34,3,5,4,18,13,155,13,28,16,60,18,53,43,24,10,3,1,1,0,2,1,0,15,1,4,2,2,1,8,0,1,19,10,2,1,5,1,0,7,2,6,0,1,1,1,0,1,1,0,0,5,1,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,11,3,1,4,1,5,1,1,2,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,12,6,2,3,2,3,2,1,0,0,0,4,4
40 - Α' Πειραιώς,49 E.T. Δήμου Πειραιώς,530,300,3,3,6,294,76,9,15,20,3,5,11,16,12,133,14,20,12,51,17,41,11,14,8,4,5,2,1,0,0,2,13,1,2,2,1,4,4,2,1,10,5,1,1,0,0,0,7,2,8,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,2,3,3,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,2,0,1,3,17,4,1,0,2,6,2,6,3,0,0,5,1
40 - Α' Πειραιώς,50 E.T. Δήμου Πειραιώς,529,326,5,1,6,320,74,8,12,29,3,5,6,11,10,159,19,26,20,61,31,32,22,25,9,2,2,1,0,1,1,0,16,0,2,0,3,3,3,4,3,17,12,1,3,1,1,0,4,1,8,0,1,1,1,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,2,3,2,0,4,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,13,2,1,0,2,3,3,4,1,0,0,4,3
