ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΙΓΓΛΕΖΗ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΜΑΛΑΜΑ ΚΥΡΙΑΚΗ του Ιωάννη,ΠΑΝΟΣ ΙΩΑΚΕΙΜ του Χρήστου,ΣΑΚΚΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΟΣΚΑΣ ΛΑΖΑΡΟΣ του Ηλία,Νέα Δημοκρατία,ΒΑΓΙΩΝΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΑΡΑΝΑΣΙΟΣ ΕΥΘΥΜΙΟΣ του Βασιλείου,ΣΟΦΙΟΥ ΜΑΓΔΑΛΗΝΗ του Ευαγγέλου,ΤΑΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Γεωργίου,ΧΑΤΖΗΣΤΑΜΑΤΙΟΥ-ΛΕΜΟΝΙΑΔΟΥ ΕΛΕΥΘΕΡΙΑ (ΡΙΤΣΑ) του Ηλία,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΑΪΝΔΕΡΛΗ ΕΥΡΥΚΛΕΙΑ του Δημητρίου,ΒΛΑΧΟΥ ΣΩΤΗΡΙΑ του Ιωάννη,ΖΑΜΠΙΔΗΣ ΠΡΟΔΡΟΜΟΣ του Χαραλάμπους,ΜΑΝΩΛΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Γρηγορίου,ΧΑΣΑΠΗΣ ΑΣΤΕΡΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΒΛΑΧΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Αστερίου,ΕΥΤΑΤΟΓΛΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΖΕΠΠΟΥ ΜΑΡΘΑ του Ιωάννη,ΚΑΝΕΛΗΣ ΑΡΙΣΤΕΙΔΗΣ του Δημητρίου,ΠΑΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,Κ.Κ.Ε.,ΖΑΧΑΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Γερασίμου,ΛΥΡΤΖΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΩΥΣΙΑΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΠΑΝΤΕΛΗΣ ΛΑΖΑΡΟΣ του Αστερίου,ΧΡΙΣΤΙΑΝΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΣΑΚΟΛΕΒΑ ΜΑΡΙΑ του Σωτηρίου,ΤΣΑΟΥΡΕΛΟΣ ΘΕΟΔΩΡΟΣ του Στυλιανού,Ο.Κ.Δ.Ε.,ΑΝΤΩΝΙΟΥ ΣΤΕΡΓΙΑΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΖΑΦΕΙΡΟΥΛΗ ΒΡΕΤΟΥ ΦΑΝΗ του Βασιλείου,ΡΗΓΟΠΟΥΛΟΣ ΦΡΑΓΚΙΣΚΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΛΕΥΡΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΑΜΠΟΥΡΗΣ ΑΝΤΩΝΙΟΣ του Χρήστου,ΜΟΥΣΤΑΚΑ ΜΑΡΙΑ του Παναγιώτη,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΑΛΚΗΣ του Χρήστου,ΧΑΡΙΤΟΥ ΜΑΡΓΑΡΙΤΑ του Αποστόλου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΖΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΛΙΟΔΩΡΟΥ ΝΙΚΟΛΑΟΣ του Στυλιανού,ΜΠΑΒΕΛΗ ΘΕΟΔΩΡΑ του Ζαρίφη,ΟΙΚΟΝΟΜΟΥ ΑΡΙΣΤΕΙΔΗΣ του Νικολάου,ΠΙΤΟΥΛΑΣ ΕΛΕΥΘΕΡΙΟΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΓΕΩΡΓΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΑΝΔΕΛΕΝΑΚΗ ΖΩΗ του Ηλία,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΑΥΡΟΥΔΗΣ ΛΑΜΠΡΟΣ του Αναστασίου,ΣΙΔΗΡΟΠΟΥΛΟΥ ΚΥΡΙΑΚΟΥΛΑ του Κωνσταντίνου,ΤΣΟΜΑΚΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκή Ενότητα,ΑΜΑΝΑΤΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοφίλου,ΓΡΑΣΣΟΥ ΚΑΛΙΡΡΟΗ του Γεωργίου,ΔΕΡΓΙΑΔΕ-ΚΑΝΤΑΡΑ ΜΑΡΙΑ του Λεωνίδα,ΠΑΣΧΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αντωνίου,ΜέΡΑ25,ΜΠΑΡΜΠΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΟΦΤΣΗ ΜΑΡΙΑ του Βασιλείου,ΧΟΥΧΟΥΤΑΣ ΝΙΚΗΤΑΣ του Αθανασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΓΓΛΗΣ ΑΣΤΕΡΙΟΣ (ΣΤΕΡΓΙΟΣ) του Αγγέλου,ΚΛΗΜΑΤΣΙΔΑ ΣΩΣΑΝΝΑ του Αστερίου,ΣΑΚΕΛΛΑΡΗΣ ΣΩΤΗΡΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΕΥΣΤΑΘΙΟΥ ΓΕΡΑΚΙΝΑ του Χριστοδούλου,ΚΥΠΡΑΙΟΥ ΕΛΕΝΗ του Βασιλείου,ΤΡΕΝΤΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου
9 - Χαλκιδικής,17 E.T. Δήμου Αριστοτέλη,405,249,14,1,15,234,78,17,16,1,8,24,84,29,22,3,11,8,20,1,0,3,9,7,22,6,5,0,0,8,4,0,0,0,0,0,5,1,3,0,0,0,3,1,0,1,0,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,6,1,1,1
9 - Χαλκιδικής,18 E.T. Δήμου Αριστοτέλη,537,360,5,5,10,350,85,9,5,1,2,64,166,44,58,4,28,4,25,1,3,0,15,4,43,2,5,1,1,30,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,8,3,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,8,0,0,0
9 - Χαλκιδικής,19 E.T. Δήμου Αριστοτέλη,544,371,6,7,13,358,118,3,6,1,7,88,130,40,46,3,7,15,12,1,0,1,6,1,40,1,2,4,1,30,18,3,3,2,0,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0,5,1,0,0,0,0,10,0,0,0
9 - Χαλκιδικής,20 E.T. Δήμου Αριστοτέλη,558,379,6,1,7,372,104,2,8,0,0,88,163,49,71,7,15,4,11,0,0,0,7,3,42,3,3,3,0,30,10,0,5,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,7,0,0,2,1,0,0,0,0,4,0,0,0,1,0,0,0,0,8,2,2,1,1,0,0,0,10,0,0,0
9 - Χαλκιδικής,21 E.T. Δήμου Αριστοτέλη,555,363,2,6,8,355,96,1,3,0,2,85,149,41,50,8,23,6,31,1,1,0,21,6,32,4,5,2,0,19,6,0,0,0,2,1,6,1,2,0,0,0,3,1,0,1,0,0,0,0,0,0,10,1,0,2,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,12,5,4,0,0,0,0,0,6,2,2,0
9 - Χαλκιδικής,22 E.T. Δήμου Αριστοτέλη,562,404,2,2,4,400,126,3,10,3,6,91,156,47,59,6,21,5,16,0,1,1,6,5,48,10,1,0,1,31,8,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,14,5,3,2,1,0,0,0,9,0,0,0
9 - Χαλκιδικής,23 E.T. Δήμου Αριστοτέλη,546,311,7,3,10,301,52,6,10,1,3,15,158,46,46,12,29,3,19,1,1,0,11,1,26,13,1,0,0,10,3,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,10,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,1,2,0,0,0,11,3,1,1
9 - Χαλκιδικής,24 E.T. Δήμου Αριστοτέλη,382,221,6,3,9,212,74,19,8,4,1,10,42,11,6,1,17,2,11,0,0,0,6,2,44,28,1,1,0,9,9,1,2,3,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,9,3,1,1,1,0,0,0,3,0,0,0
9 - Χαλκιδικής,25 E.T. Δήμου Αριστοτέλη,319,185,2,0,2,183,39,13,6,2,0,6,73,26,8,5,21,3,1,0,0,0,1,0,30,20,4,0,0,4,5,4,0,0,0,1,6,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,18,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,5,3,0,1
9 - Χαλκιδικής,26 E.T. Δήμου Αριστοτέλη,484,302,1,0,1,301,130,62,27,3,5,19,74,26,7,1,24,9,15,0,0,0,4,9,45,41,1,1,0,1,8,0,2,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,1,5,4,2,0,1,1,5,4,0,0
9 - Χαλκιδικής,27 E.T. Δήμου Αριστοτέλη,527,343,3,3,6,337,164,74,31,2,8,16,75,24,11,2,11,10,9,0,1,0,1,5,45,38,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,6,1,0,1,1,0,0,0,0,3,0,0,0,4,0,0,0,0,9,2,3,1,3,0,0,0,6,0,0,0
9 - Χαλκιδικής,28 E.T. Δήμου Αριστοτέλη,488,303,4,1,5,298,118,53,17,2,4,26,79,27,13,1,15,8,11,0,0,1,1,7,46,41,2,0,0,0,5,0,3,0,0,1,3,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,3,0,0,0,0,0,9,0,0,0
9 - Χαλκιδικής,29 E.T. Δήμου Αριστοτέλη,481,294,1,1,2,292,121,60,24,5,3,16,72,14,12,2,17,16,7,0,0,0,0,6,50,48,1,0,0,1,12,0,4,1,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,3,3,2,2,0,0,0,9,0,0,0
9 - Χαλκιδικής,30 E.T. Δήμου Αριστοτέλη,479,311,4,4,8,303,122,58,31,2,3,10,75,23,14,4,19,8,18,0,0,2,4,11,44,42,0,0,0,1,10,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,2,4,2,0,0,0,5,0,0,0
9 - Χαλκιδικής,31 E.T. Δήμου Αριστοτέλη,483,295,6,0,6,289,110,54,18,3,3,16,83,16,14,4,28,13,21,1,1,1,3,14,40,32,0,0,0,1,4,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,3,0,1,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,5,2,0,1,1,0,0,0,7,0,0,0
9 - Χαλκιδικής,32 E.T. Δήμου Αριστοτέλη,490,330,2,3,5,325,136,52,25,5,5,22,79,24,16,4,18,10,16,1,0,0,1,14,47,44,0,0,1,1,8,2,2,1,0,2,6,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,10,2,0,2,0,1,0,0,0,0,2,0,2,0,1,0,0,1,0,10,0,4,2,2,0,0,0,5,1,2,1
9 - Χαλκιδικής,33 E.T. Δήμου Αριστοτέλη,489,282,6,1,7,275,91,18,18,2,3,18,83,21,12,3,9,25,7,1,1,0,1,2,29,24,4,0,0,0,18,2,1,3,1,7,7,3,0,0,0,0,2,0,0,0,8,7,0,0,0,0,10,5,0,0,1,1,0,0,0,0,5,2,0,0,1,1,0,0,0,10,1,3,1,1,0,0,0,3,1,1,1
9 - Χαλκιδικής,34 E.T. Δήμου Αριστοτέλη,487,289,1,3,4,285,110,27,12,1,9,34,86,25,6,1,16,24,10,0,0,2,2,2,28,23,1,0,0,3,11,3,0,2,0,4,7,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,11,2,1,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,6,0,0,0
9 - Χαλκιδικής,35 E.T. Δήμου Αριστοτέλη,509,324,1,3,4,320,123,33,15,0,11,42,73,26,11,1,12,17,23,0,1,1,0,4,46,28,7,1,0,2,11,1,1,1,2,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,3,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,9,0,0,0
9 - Χαλκιδικής,36 E.T. Δήμου Αριστοτέλη,403,294,3,1,4,290,73,11,12,3,11,12,114,50,16,4,7,11,13,1,2,0,3,4,46,16,2,1,2,21,7,1,0,1,0,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,7,1,0,0,3,0,0,0,10,0,0,0
9 - Χαλκιδικής,37 E.T. Δήμου Αριστοτέλη,340,237,1,2,3,234,48,9,9,4,3,10,113,36,25,4,9,17,16,0,4,2,2,2,13,6,1,0,1,3,15,2,0,1,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,2,1,0,1,4,0,1,0
