ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΒΡΗΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΓΚΙΟΛΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΑΡΑΣΤΑΜΑΤΗ ΜΑΡΙΑ του Στέφανου,ΝΙΚΟΛΑΡΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ του Πέτρου,ΣΚΟΥΡΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,Νέα Δημοκρατία,ΑΝΔΡΙΑΝΟΣ ΙΩΑΝΝΗΣ του Σωτηρίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΠΡΟΣΙΛΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΡΟΜΠΟΤΗΣ ΣΠΥΡΙΔΩΝ του Βασιλείου,ΤΑΝΤΑΡΟΥ-ΚΡΙΓΓΟΥ ΘΕΟΔΟΣΙΑ (ΣΟΝΙΑ) του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΑΛΑΘΑ ΔΙΟΝΥΣΙΑ του Βασιλείου,ΜΟΥΛΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΟΥΛΗΣ ΑΝΔΡΕΑΣ του Αθανασίου,ΡΕΝΤΕΤΑΚΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου,ΤΣΙΡΙΚΟΣ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,Κίνημα Αλλαγής,ΚΑΡΟΥΣΗ-ΤΑΣΑΙΝΑ ΣΤΑΜΑΤΙΑ του Παναγιώτη,ΜΑΝΙΑΤΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΝΙΚΟΛΑΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΠΟΥΛΑΣ ΑΝΔΡΕΑΣ του Θεοδοσίου,ΣΤΕΦΑΝΟΥ ΙΩΑΝΝΗΣ του Μιλτιάδη,Κ.Κ.Ε.,ΑΓΓΕΛΟΥ ΑΝΑΣΤΑΣΙΟΣ του Νικολάου,ΑΝΤΩΝΙΟΥ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΓΚΟΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΚΑΛΑΪΤΖΗ ΜΑΡΙΑΝΘΗ του Αναστασίου,ΜΠΑΒΕΛΗ ΝΑΥΣΙΚΑ του Χρήστου,Ένωση Κεντρώων,ΖΕΡΒΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ του Χαράλαμπου,ΝΤΟΥΒΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ζαχαρία,Ο.Κ.Δ.Ε.,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Ιακώβου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΕΡΔΕ ΕΛΕΝΗ του Παναγιώτη,ΝΕΖΟΥ ΓΑΡΥΦΑΛΙΑ του Δημητρίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Ελλήνων Συνέλευσις,ΓΙΑΝΝΑΚΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Μιχαήλ,ΔΑΡΑΣ ΙΩΑΝΝΗΣ του Λουκά,ΚΑΡΑΜΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αναστασίου,ΚΑΡΑΜΠΗ ΙΩΑΝΝΑ του Δημητρίου,ΚΩΤΣΙΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΥΜΝΙΑΤΗΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΣΑΛΑΠΑΤΑΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΤΣΑΠΡΑΛΗ ΓΕΩΡΓΙΑ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΜΑΥΡΟΓΙΑΝΝΗΣ ΣΕΡΓΙΟΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΣΑΛΑΠΑΤΑΣ ΛΕΩΝΙΔΑΣ του Ανδρέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Παύλου,ΚΑΣΙΔΗ ΑΓΓΕΛΙΚΗ του Ευθυμίου,ΚΟΥΤΡΑ-ΞΥΛΙΝΑ ΜΑΡΙΝΑ του Θεοδώρου,ΠΑΤΡΙΝΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,Λαϊκή Ενότητα,ΒΑΣΙΛΕΙΟΥ ΔΗΜΗΤΡΙΟΣ του Σπήλιου,ΚΑΨΟΥΡΟΣ ΓΕΩΡΓΙΟΣ του Λεωνίδα,ΚΥΡΙΑΚΟΥ ΕΥΣΤΑΘΙΑ του Γεωργίου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Διαμαντή,ΤΖΩΡΤΖΗ ΕΥΓΕΝΙΑ του Νικολάου,ΜέΡΑ25,ΓΕΩΡΓΟΠΟΥΛΟΣ - ΖΟΥΤΑΣ ΔΗΜΗΤΡΙΟΣ του Ανδριανού,ΛΑΜΠΡΟΥ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΚΡΙΝΙΩ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΥΑΛΙΣΤΡΑ ΑΛΕΞΑΝΔΡΑ του Διονυσίου,ΚΑΛΥΒΑΣ ΚΥΡΙΑΚΟΣ του Αθανασίου,ΚΟΡΙΛΗΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Περικλή
44 - Αργολίδος,17 E.T. Δήμου Άργους - Μυκηνών,471,297,4,2,6,291,81,13,19,4,30,2,133,33,47,1,2,42,4,1,0,0,0,1,33,2,14,0,15,2,8,1,1,1,1,2,4,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,8,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,8,2,3,1,1,1,0,0,3,3
44 - Αργολίδος,18 E.T. Δήμου Άργους - Μυκηνών,489,275,3,2,5,270,61,16,18,3,19,0,117,30,56,0,4,21,11,1,0,6,1,0,35,0,18,0,11,5,9,1,0,3,1,0,3,1,2,0,0,0,1,0,0,0,3,1,0,0,0,2,11,3,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,10,7
44 - Αργολίδος,19 E.T. Δήμου Άργους - Μυκηνών,459,289,3,2,5,284,62,5,12,2,21,1,127,28,54,0,3,26,8,1,0,3,0,1,35,0,14,0,18,2,20,2,2,7,0,1,4,2,1,0,0,0,0,0,0,0,4,0,0,0,0,4,11,1,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,0,0,2,0,1,0,3,1
44 - Αργολίδος,20 E.T. Δήμου Άργους - Μυκηνών,441,260,5,5,10,250,82,14,20,1,28,3,99,28,36,1,3,23,9,2,1,3,0,2,31,2,13,1,14,0,4,1,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,7,2,1,1,0,0,0,0,2,0
44 - Αργολίδος,21 E.T. Δήμου Άργους - Μυκηνών,495,287,6,3,9,278,73,12,19,2,21,4,141,43,59,0,6,23,5,1,0,2,1,0,20,0,12,0,6,2,8,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,9,2,2,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,9,1,1,1,1,0,0,0,4,2
44 - Αργολίδος,22 E.T. Δήμου Άργους - Μυκηνών,462,282,3,3,6,276,78,11,18,5,25,3,116,43,41,0,0,25,7,0,0,2,3,1,35,2,11,1,16,3,12,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,2,2,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,10,4,1,1,2,0,1,0,3,2
44 - Αργολίδος,23 E.T. Δήμου Άργους - Μυκηνών,415,267,1,1,2,265,78,19,20,2,27,2,109,30,49,0,2,24,9,1,1,5,1,1,31,3,12,3,10,3,6,0,0,2,0,1,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,12,4,5,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9,4,1,2,3,0,1,1,2,2
44 - Αργολίδος,24 E.T. Δήμου Άργους - Μυκηνών,551,358,3,0,3,355,101,15,22,6,32,6,145,51,43,2,5,33,4,1,1,1,0,0,51,0,22,2,24,2,10,1,0,1,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4,6,2,1,0,1,6,4
44 - Αργολίδος,25 E.T. Δήμου Άργους - Μυκηνών,554,315,5,0,5,310,75,5,14,4,32,2,153,43,55,1,4,44,7,0,0,4,1,0,29,0,15,0,11,3,7,2,0,1,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9,3,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,2,0,2,6,2,2,0,9,8
44 - Αργολίδος,26 E.T. Δήμου Άργους - Μυκηνών,548,337,7,0,7,330,98,14,22,0,43,5,146,36,61,1,6,38,7,1,0,3,0,1,38,0,26,0,9,2,3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,17,1,8,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,2,2,0,0,2,1
44 - Αργολίδος,27 E.T. Δήμου Άργους - Μυκηνών,546,350,4,3,7,343,95,18,21,1,32,5,153,41,57,3,7,41,6,0,0,3,1,0,49,2,20,2,17,7,6,1,0,3,1,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,10,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,3,0,2,0,0,0,0,8,6
44 - Αργολίδος,28 E.T. Δήμου Άργους - Μυκηνών,554,320,4,2,6,314,81,16,15,5,16,5,152,52,45,0,6,38,4,0,0,1,1,1,39,1,15,0,16,4,8,1,1,1,0,5,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,4,4,0,0,0,2,2
44 - Αργολίδος,29 E.T. Δήμου Άργους - Μυκηνών,555,309,1,2,3,306,82,17,13,2,33,1,139,47,43,0,4,35,8,1,0,5,1,0,37,1,23,0,10,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,4,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,11,0,4,3,4,0,1,0,6,3
44 - Αργολίδος,30 E.T. Δήμου Άργους - Μυκηνών,554,315,8,3,11,304,46,9,11,2,18,1,153,34,66,0,7,41,12,2,0,3,2,2,45,0,25,0,18,1,12,0,0,3,3,3,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,14,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,1,5,1,4,0,2,2
44 - Αργολίδος,31 E.T. Δήμου Άργους - Μυκηνών,538,316,4,0,4,312,84,11,20,2,24,5,140,44,47,0,8,37,10,1,0,4,0,0,34,0,7,7,12,3,7,0,1,3,0,2,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,7,2,0,0,0,0,4,2,0,0,0,1,0,0,0,1,0,8,3,1,3,1,0,0,0,3,0
44 - Αργολίδος,32 E.T. Δήμου Άργους - Μυκηνών,536,322,9,1,10,312,89,12,23,2,36,3,131,36,41,3,2,42,5,0,1,1,0,0,47,0,22,0,16,7,9,0,0,2,4,1,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,10,2,4,0,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0,10,2,1,0,2,2,0,0,1,1
44 - Αργολίδος,33 E.T. Δήμου Άργους - Μυκηνών,537,291,2,1,3,288,76,13,24,6,22,7,129,40,33,0,3,44,7,0,0,5,0,1,34,1,17,1,12,3,7,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,6,4,0,0,0,0,4,0,1,0,2,1,0,0,0,1,0,6,0,1,4,3,1,1,0,3,3
44 - Αργολίδος,34 E.T. Δήμου Άργους - Μυκηνών,544,332,9,2,11,321,94,12,23,5,37,2,134,36,46,0,10,32,10,0,0,5,0,0,32,0,16,0,14,0,11,1,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,2,7,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,14,4,1,3,1,0,0,0,6,6
44 - Αργολίδος,35 E.T. Δήμου Άργους - Μυκηνών,547,311,3,2,5,306,76,16,16,5,29,6,148,46,49,0,2,45,6,0,0,2,0,0,45,2,24,2,13,4,4,0,0,0,2,1,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,11,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,1,0,0,1,3,3
44 - Αργολίδος,36 E.T. Δήμου Άργους - Μυκηνών,544,329,4,2,6,323,74,17,21,3,22,2,161,46,62,0,2,40,7,1,0,2,1,0,36,0,15,3,13,0,16,2,1,1,3,3,6,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,1,2,0,1,0,0,1,2,2
44 - Αργολίδος,37 E.T. Δήμου Άργους - Μυκηνών,538,294,6,6,12,282,70,13,5,8,19,9,135,43,40,0,12,35,3,0,0,3,0,0,36,0,24,0,8,3,8,1,0,2,1,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,12,4,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,7,1,2,3,1,0,0,0,3,1
