ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΛΙΦΙΕΡΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΑΥΓΟΥΣΤΑΚΗ ΕΛΕΝΗ του Μύρωνα,ΒΑΡΔΑΚΗΣ ΣΩΚΡΑΤΗΣ του Δημητρίου,ΔΑΝΕΛΛΗΣ ΣΠΥΡΙΔΩΝ του Αθανασίου,ΔΟΥΛΓΕΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΗΓΟΥΜΕΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΚΑΜΠΟΥΡΑΚΗ ΧΡΥΣΑΝΘΗ του Αντωνίου,ΛΕΝΑΚΑΚΗ ΣΤΥΛΙΑΝΗ του Νικολάου,ΜΑΜΟΥΛΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΧΑΡΗΣ) του Αντωνίου,ΜΙΧΕΛΟΓΙΑΝΝΑΚΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΣΜΠΩΚΟΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,Νέα Δημοκρατία,ΑΥΓΕΝΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Κωνσταντίνου,ΒΡΕΝΤΖΟΥ-ΣΚΟΡΔΑΛΑΚΗ ΘΕΑΝΩ του Εμμανουήλ,ΜΑΤΑΛΛΙΩΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΑΣΠΑΤΗΣ ΓΡΗΓΟΡΙΟΣ του Αλεξάνδρου,ΡΟΚΑΔΑΚΗΣ ΓΡΗΓΟΡΙΟΣ του Εμμανουήλ,ΣΕΝΕΤΑΚΗΣ ΜΑΞΙΜΟΣ του Γεωργίου,ΣΗΜΑΙΑΚΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΑ) του Γεωργίου,ΣΤΡΑΤΑΚΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΣΦΑΚΙΑΝΑΚΗ ΝΙΚΟΛΕΤΑ του Μιχαήλ,ΤΖΩΡΤΖΟΓΛΟΥ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΤΣΑΝΤΗΡΑΚΗ-ΑΝΑΣΤΑΣΑΚΗ ΕΛΕΝΗ του Στυλιανού,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΑΚΗΣ ΝΕΚΤΑΡΙΟΣ του Ελευθερίου,ΑΝΑΣΤΑΣΑΚΗ ΜΑΡΙΑ του Δημητρίου,ΒΛΑΧΑΒΑΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΑΤΕΡΑΚΗ ΜΑΡΙΑ του Ευαγγέλου,ΠΛΟΥΜΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΣΤΕΦΑΝΟΠΟΥΛΟΥ ΖΑΧΑΡΟΥΛΑ του Ιωάννη,ΣΤΡΑΤΙΔΑΚΗΣ ΝΙΚΟΛΑΟΣ του Αλέξανδρου,Κίνημα Αλλαγής,ΓΕΝΝΗΜΑΤΑ ΦΩΤΕΙΝΗ (ΦΩΦΗ) του Γεωργίου,ΑΡΒΑΝΙΤΑΚΗΣ ΠΑΝΤΕΛΕΗΜΩΝ του Μιχαήλ,ΒΑΤΣΙΝΑ ΕΛΕΝΗ του Φανουρίου,ΓΙΑΝΝΑΡΗ ΙΩΑΝΝΑ του Γεωργίου,ΚΑΛΟΥΔΑΚΗΣ ΣΤΑΥΡΟΣ του Νικολάου,ΚΕΓΚΕΡΟΓΛΟΥ ΒΑΣΙΛΕΙΟΣ του Αλέξανδρου,ΜΠΡΙΜΗΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Μηνά,ΣΤΑΘΟΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Στεφάνου,ΣΤΡΑΤΑΚΗΣ ΧΡΗΣΤΟΣ του Εμμανουήλ,ΧΑΤΖΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε.,ΑΝΑΣΤΑΣΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΑΝΔΡΟΥΛΑΚΗ ΚΡΥΣΤΑΛΕΝΙΑ (ΛΙΝΑ) του Ιωάννη,ΓΩΝΙΑΝΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΑΡΚΑΒΑΤΣΟΣ ΕΜΜΑΝΟΥΗΛ του Στυλιανού,ΚΟΚΟΣΑΛΗ - ΣΑΛΟΥΣΤΡΟΥ ΜΑΡΙΑ του Ζαχαρία,ΠΑΤΕΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΠΟΘΗΤΟΥ ΙΩΑΝΝΑ του Γεωργίου,ΣΑΛΟΥΣΤΡΟΣ ΔΗΜΟΚΡΙΤΟΣ του Εμμανουήλ,ΣΚΕΠΑΡΝΗΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΣΥΝΤΥΧΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του ΔΑΝΙΗΛ,ΣΦΑΚΙΑΝΑΚΗΣ ΜΙΧΑΗΛ του Αντωνίου,Ένωση Κεντρώων,ΑΓΓΕΛΙΔΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Χαράλαμπου,ΒΟΥΒΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΙΑΝΝΑΔΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Σωτηρίου,ΚΑΦΑΝΤΑΡΗ ΙΟΥΛΙΑ του Κωνσταντίνου,ΚΟΝΤΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΕΒΕΝΤΗ-ΜΕΝΤΕΣΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΤΖΑΓΚΑΡΑΚΗ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Γεωργίου,ΤΖΩΡΤΖΑΚΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΦΡΑΓΚΙΑΔΑΚΗ ΕΙΡΗΝΗ του Νικολάου,Ο.Κ.Δ.Ε.,ΦΟΥΦΟΥΔΑΚΗΣ ΙΩΑΝΝΗΣ του Παντελή,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΩΝΙΟΥ ΑΝΤΩΝΙΑ του Χρήστου,ΒΑΛΑΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΒΛΑΧΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΓΚΟΥΒΑΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΔΕΣΗ-ΛΟΥΚΑ ΧΡΙΣΤΙΝΗ του Αλέξανδρου,ΚΤΙΣΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ευαγγέλου,ΧΑΡΑΛΑΜΠΑΚΗ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΧΑΡΙΤΟΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,Ελλήνων Συνέλευσις,ΒΑΜΒΟΥΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΚΑΠΝΙΣΤΟΥ ΑΝΤΩΝΙΑ του Κωνσταντίνου,ΚΟΚΟΣΑΛΗ ΑΝΝΑ ΜΑΡΙΑ του Μιχαήλ,ΛΙΑΝΟΥ ΚΑΛΛΙΟΠΗ του Αντωνίου,ΜΑΡΚΟΥΛΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΜΟΥΛΑΚΑΚΗΣ ΦΩΤΙΟΣ του Κωνσταντίνου,ΠΑΣΧΑΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΣΦΑΚΙΑΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΚΟΖΥΡΑΚΗ ΕΙΡΗΝΗ του Φραγκίσκου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΑΥΓΙΩΤΑΚΗΣ ΜΙΧΑΗΛ του Ευαγγέλου,ΓΚΟΤΖΟΓΙΑΝΝΗ ΜΑΡΘΑ του Ιωάννη,ΚΑΜΑ ΘΩΜΑΗ του Παναγιώτη,ΛΥΚΑΚΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΜΠΑΛΤΖΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΜΥΛΩΝΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Ηλία,ΠΑΛΑΜΙΑΝΑΚΗ ΕΛΕΝΗ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΥ - ΙΩΣΗΦΙΔΟΥ ΑΝΝΑ του Ιωάννη,ΡΟΜΠΟΓΙΑΝΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΣΚΟΡΔΙΛΗΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΧΡΙΣΤΟΔΟΥΛΙΔΗΣ ΞΕΝΟΦΩΝ του Αντωνίου,Κ.Κ.Ε. (μ-λ),ΓΚΟΛΕΜΗ ΙΩΑΝΝΑ του Γεωργίου,ΔΡΑΚΩΝΑΚΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΜΠΑΜΠΑΛΕΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΑΠΟΥΤΣΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΤΑΥΡΙΑΝΟΥΔΑΚΗ ΧΡΥΣΗ του Ανδρέα,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΥΠΑΡΑΚΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΚΟΚΟΛΟΓΙΑΝΝΗ ΜΑΡΙΑ ΕΛΕΝΗ του Ιωάννη,ΜΑΚΡΥΠΟΔΗΣ ΝΙΚΟΛΑΟΣ του Αριστείδη,ΜΑΡΝΙΕΡΑΚΗ ΑΝΝΑ του Ιωάννη,ΟΡΦΑΝΟΥΔΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΟΥΡΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΠΑΓΟΥΡΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Στυλιανού,ΤΣΙΟΜΠΑΝΙΔΗΣ ΕΥΑΓΓΕΛΟΣ (ΒΑΚΗΣ) του Γεωργίου,Λαϊκή Ενότητα,ΑΛΕΞΑΚΗ ΕΛΕΝΗ του Δημητρίου,ΚΑΤΖΗΛΑΚΗΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΚΡΙΑΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΚΡΙΤΣΩΤΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΛΕΒΕΝΤΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΜΑΝΤΖΑΡΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,ΣΑΒΒΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ,ΧΙΩΤΕΛΗΣ ΑΡΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΒΑΡΟΥΦΑΚΗΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΗΣ) του Γεωργίου,ΚΑΤΣΟΥΛΗ ΕΛΕΥΘΕΡΙΑ του Ζαχαρία,ΛΙΑΠΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΛΟΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Σοφοκλή-Εμμανουήλ,ΛΟΥΛΟΥΔΑΚΗΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΜΑΘΙΟΥΔΑΚΗ ΕΜΜΑΝΟΥΕΛΑ του Ανδρέα,ΜΑΡΑΓΚΑΚΗΣ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΤΣΟΥΚΑΛΑ ΑΙΚΑΤΕΡΙΝΗ του Χρίστου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΔΡΙΑΝΑΚΗ ΕΥΣΤΑΘΙΑ του Ελευθερίου,ΨΑΡΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΦΙΛΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Σταμάτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Αριστοτέλη
55 - Ηρακλείου,111 E.T. Δήμου Γόρτυνας,556,329,0,1,1,328,146,105,11,45,10,25,26,40,3,0,30,30,121,72,31,30,37,16,35,1,25,11,7,16,4,0,0,0,0,0,0,0,19,0,11,4,0,2,6,1,1,3,9,0,11,9,0,0,1,1,1,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
55 - Ηρακλείου,112 E.T. Δήμου Γόρτυνας,554,323,1,2,3,320,178,129,13,48,22,15,36,45,3,26,14,59,73,50,10,22,37,10,13,1,10,6,1,6,0,0,0,0,0,0,0,0,32,5,6,4,1,10,18,4,2,12,6,1,17,12,1,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,2,2,1,1,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,1,1,1,0,2,1,0,0,0,0,0,0
55 - Ηρακλείου,113 E.T. Δήμου Γόρτυνας,565,344,3,1,4,340,148,131,9,43,6,19,38,23,3,16,16,38,124,74,10,44,83,24,31,6,23,10,8,14,3,0,0,0,0,0,0,0,24,0,9,4,0,0,14,0,0,10,8,0,4,1,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,0,2,1,1,3,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,3,4,0,0,0,0,5,0
55 - Ηρακλείου,114 E.T. Δήμου Γόρτυνας,339,191,3,1,4,187,86,42,4,35,14,13,11,47,1,10,14,13,33,20,5,14,7,1,5,4,5,4,8,1,4,0,0,0,0,0,0,0,30,0,11,6,0,3,20,1,1,11,13,0,9,2,2,1,0,0,2,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,3,1,1,1,1,1,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,1,2,1,2,0,0,0,0,0,0,0,2,0
55 - Ηρακλείου,115 E.T. Δήμου Γόρτυνας,257,165,4,0,4,161,46,20,4,9,6,9,6,2,1,5,5,7,67,35,14,36,26,9,0,0,14,14,0,1,1,0,0,0,0,0,0,0,34,0,20,5,1,0,19,0,1,9,8,1,5,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
55 - Ηρακλείου,116 E.T. Δήμου Γόρτυνας,244,153,1,1,2,151,66,12,4,14,19,10,13,17,0,11,12,3,40,12,1,8,4,2,8,0,32,3,1,1,0,0,0,0,0,0,0,0,14,0,9,2,0,0,7,2,1,0,2,0,13,8,0,2,0,1,1,0,1,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
55 - Ηρακλείου,117 E.T. Δήμου Ηρακλείου,388,281,0,2,2,279,137,27,26,22,37,14,36,11,4,56,16,18,79,30,11,53,25,10,25,3,2,14,0,0,8,0,0,0,0,0,0,0,19,0,5,5,0,0,12,0,0,0,2,1,7,2,1,0,0,2,0,0,1,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,2,2,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,2,0,3,0,0,0,0,5,0
55 - Ηρακλείου,118 E.T. Δήμου Ηρακλείου,365,252,2,1,3,249,104,22,10,23,25,11,23,10,3,37,11,17,76,29,10,42,26,8,23,3,5,16,7,0,8,2,2,0,1,0,1,1,27,12,8,5,1,3,11,3,2,0,1,4,14,6,2,3,1,1,1,1,3,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,2,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
55 - Ηρακλείου,119 E.T. Δήμου Ηρακλείου,429,322,3,1,4,318,127,19,26,46,28,8,31,8,1,43,24,36,131,61,26,78,31,11,57,6,24,27,6,2,4,3,1,0,1,1,0,0,32,0,9,3,0,3,24,1,4,2,5,1,5,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,3,1,1,0,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0
55 - Ηρακλείου,120 E.T. Δήμου Ηρακλείου,598,398,3,2,5,393,187,20,29,44,33,26,25,25,14,63,40,61,118,37,39,47,14,8,25,7,35,48,10,4,7,0,0,0,0,0,0,0,43,0,20,14,0,0,18,0,3,0,17,2,8,2,1,2,0,1,0,2,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,1,1,1,2,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,4,0,1,0,0,0,0,4,0
55 - Ηρακλείου,121 E.T. Δήμου Ηρακλείου,533,360,8,2,10,350,169,17,16,39,19,23,26,17,7,58,47,54,100,38,20,43,15,9,32,6,19,50,5,3,7,0,0,0,0,0,0,0,41,0,15,10,0,0,16,6,1,2,11,1,12,4,0,3,1,1,2,1,0,0,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,3,1,2,1,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0
55 - Ηρακλείου,122 E.T. Δήμου Ηρακλείου,233,177,1,2,3,174,64,21,3,6,18,7,24,2,1,20,23,11,52,31,10,20,9,7,16,4,6,14,9,1,5,1,2,0,2,0,1,1,17,0,3,6,1,0,13,2,0,1,9,0,17,5,12,5,0,1,2,0,1,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,6,0,1,0,2,0,0,0,0,0,6,5
55 - Ηρακλείου,123 E.T. Δήμου Ηρακλείου,136,94,2,2,4,90,55,48,2,5,1,11,3,0,8,0,4,13,23,7,2,9,5,1,3,0,4,3,3,1,0,0,0,0,0,0,0,0,9,0,0,6,0,1,5,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55 - Ηρακλείου,124 E.T. Δήμου Ηρακλείου,346,241,0,1,1,240,104,10,7,52,11,13,28,8,2,47,19,15,83,39,19,36,23,6,34,4,17,11,16,2,8,0,0,0,0,0,0,0,22,0,8,4,0,1,15,1,0,5,4,0,5,2,1,0,1,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,2,1,3,1,0,0,0,0,1,0
55 - Ηρακλείου,125 E.T. Δήμου Ηρακλείου,535,326,2,3,5,321,158,34,16,44,37,32,29,17,10,50,23,30,83,34,15,25,27,19,35,7,3,12,12,5,2,0,0,0,0,0,0,0,26,0,6,6,0,2,19,0,1,0,1,2,12,3,1,2,2,7,1,1,2,1,4,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,16,0,2,2,1,3,1,3,4,3,3,3,0,0,4,0
55 - Ηρακλείου,126 E.T. Δήμου Ηρακλείου,506,224,1,1,2,222,83,17,10,17,18,12,18,13,3,22,12,12,76,28,23,17,22,13,40,3,1,7,12,2,4,2,1,0,2,2,0,0,19,0,4,2,3,1,9,0,2,0,4,0,13,2,3,3,0,2,1,3,2,1,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,0,1,0,2,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,3,8,3,1,0,1,1,0,1,0,0,2,0
55 - Ηρακλείου,127 E.T. Δήμου Ηρακλείου,506,262,2,4,6,256,110,21,14,32,23,22,18,14,5,30,25,20,76,32,21,21,18,13,31,3,4,8,7,4,1,1,0,0,1,0,0,1,32,0,8,7,0,1,21,0,0,2,5,1,18,4,3,1,0,6,0,0,4,0,11,1,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2
55 - Ηρακλείου,128 E.T. Δήμου Ηρακλείου,504,291,3,2,5,286,146,30,19,28,33,12,35,20,12,51,41,31,76,32,16,21,17,11,32,6,6,12,8,4,4,2,2,2,1,1,0,0,20,0,2,6,1,1,14,2,1,0,3,3,9,2,1,1,0,2,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,2,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13,0,3,0,2,0,1,4,4,1,0,0,0,0,6,2
55 - Ηρακλείου,129 E.T. Δήμου Ηρακλείου,501,326,5,2,7,319,151,25,24,31,26,24,30,15,7,50,31,28,105,53,22,31,35,14,32,4,6,26,16,1,6,5,1,1,2,1,1,2,18,0,4,3,0,1,14,2,0,0,7,0,16,3,2,4,2,2,2,3,5,2,9,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,6,2,1,1,1,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,2,2,1,1,1,1,1,0,0,4,3
55 - Ηρακλείου,130 E.T. Δήμου Ηρακλείου,496,317,8,1,9,308,156,27,23,47,47,16,24,19,14,43,33,41,70,26,11,19,31,14,33,5,2,6,4,2,4,0,0,0,0,0,0,0,26,0,6,9,1,0,14,1,5,0,7,1,14,4,3,2,0,0,2,1,4,1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,3,2,3,1,1,2,4,5,0,0,0,0,2,0
55 - Ηρακλείου,131 E.T. Δήμου Ηρακλείου,497,333,3,1,4,329,133,22,16,30,33,15,22,20,4,52,24,29,107,39,20,18,35,13,43,11,9,16,3,2,7,0,0,0,0,0,0,0,22,0,6,2,1,0,14,0,1,1,4,2,18,5,6,0,1,6,0,3,3,0,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,3,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,8,3,1,2,4,8,0,0,0,0,5,0
55 - Ηρακλείου,132 E.T. Δήμου Ηρακλείου,527,380,8,4,12,368,116,19,12,24,30,12,31,3,6,36,23,17,152,55,30,47,42,25,72,11,7,17,16,8,6,0,0,0,0,0,0,0,31,0,4,5,2,1,20,3,0,0,9,2,24,2,1,8,2,7,0,4,4,1,16,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,1,1,4,2,2,2,3,3,0,0,0,0,5,0
