ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΑΓΝΩΣΤΟΥ ΘΕΟΦΑΝΩ του Γεωργίου,ΚΑΡΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜΑΝΤΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΝΑΣΣΗ ΟΛΓΑ του Ελευθερίου,ΣΠΕΓΓΟΣ ΑΡΙΣΤΕΙΔΗΣ-ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΣΤΕΦΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΤΖΟΥΦΗ ΜΕΡΟΠΗ του Στέφανου,Νέα Δημοκρατία,ΑΜΥΡΑΣ ΓΕΩΡΓΙΟΣ του Στυλιανού,ΔΑΡΔΑΜΑΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ματθαίου,ΚΑΛΟΓΙΑΝΝΗΣ ΣΤΑΥΡΟΣ του Ελευθερίου,ΚΕΦΑΛΑ ΜΑΡΙΑ-ΑΛΕΞΑΝΔΡΑ του Στεφάνου,ΤΑΣΟΥΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΤΖΑΡΟΥΧΗ ΣΟΦΙΑ του Αποστόλου,ΤΣΟΥΛΑΚΗ ΜΑΡΙΑ του Θεμιστοκλή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΟΥΚΑ ΠΟΛΥΞΕΝΗ (ΞΕΝΙΑ) του Γεωργίου,ΛΙΛΛΗΣ ΝΙΚΟΛΑΟΣ του Μιχαήλ,ΠΑΠΑΣΤΑΘΗ ΦΩΤΕΙΝΗ του Δημητρίου,ΤΣΑΓΚΑΣ ΧΡΙΣΤΟΦΟΡΟΣ του Γεωργίου,ΤΣΙΑΓΚΑΒΕΛΗΣ ΑΛΕΞΑΝΔΡΟΣ του Αχιλλέα,Κίνημα Αλλαγής,ΓΑΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΖΑΡΠΑΛΑΣ ΣΩΤΗΡΗΣ του Κωνσταντίνου,ΖΗΚΟΥ ΜΑΡΓΑΡΙΤΑ του Γεωργίου,ΚΑΣΣΗΣ ΜΙΧΑΗΛ του Αριστείδη,ΜΑΝΤΑΛΟΒΑΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΜΠΑΡΜΠΑ ΒΑΣΙΛΙΚΗ (ΒΑΝΑ) του Χαραλάμπους,ΣΑΡΑΝΤΟΠΟΥΛΟΥ-ΠΡΕΝΤΖΑ ΑΙΚΑΤΕΡΙΝΗ του Λεωνίδα,Κ.Κ.Ε.,ΕΞΑΡΧΟΣ ΝΙΚΟΛΑΟΣ του Θεοφάνη,ΜΠΟΜΠΟΛΗ ΑΦΡΟΔΙΤΗ του Δημητρίου,ΝΑΚΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΠΑΠΠΑΣ ΧΑΡΑΛΑΜΠΟΣ του Αλεξάνδρου,ΤΑΣΙΟΥΛΑΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΤΟΥΛΚΙΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ του Σάββα,ΤΣΟΥΜΑΝΗ ΟΛΓΑ (ΟΛΥ) του Γεωργίου,Ένωση Κεντρώων,ΑΡΓΥΡΗΣ ΣΤΑΥΡΟΣ του Χρήστου,ΔΑΝΕΛΛΑΣ ΔΗΜΟΣΘΕΝΗΣ του Αδαμαντίου,ΔΗΜΟΣ ΟΔΥΣΣΕΑΣ του Αντώνη,ΔΟΣΗ ΒΑΣΙΛΙΚΗ του Μενελάου,ΕΠΙΤΡΟΠΑΚΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΛΕΒΕΝΤΗ - ΜΠΑΚΑΛΟΥ ΔΙΑΛΕΚΤΗ του Παντελή,ΣΠΥΡΟΝΙΚΟΥ ΧΡΙΣΤΙΝΑ του Αλεξάνδρου,Ο.Κ.Δ.Ε.,ΓΕΩΡΓΙΑΔΗΣ ΣΤΕΦΑΝΟΣ του Ευάγγελου,ΜΠΑΛΤΖΩΗ ΦΩΤΕΙΝΗ του Λάμπρου,ΠΛΑΣΤΗΡΑ ΕΛΠΙΝΙΚΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΓΚΙΚΑ ΛΟΥΪΖΑ του Δημητρίου,ΜΠΑΚΟΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΠΑΣΣΙΑΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΤΟΛΗ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,Ελλήνων Συνέλευσις,ΓΡΑΜΜΟΖΗ ΑΓΓΕΛΙΚΗ (ΑΝΤΖΥ) του Ζήση,ΔΕΡΕΚΑΣ ΑΓΓΕΛΟΣ του Αναστασίου,ΚΩΤΣΟΡΙΔΗΣ ΣΤΕΡΓΙΟΣ του Χαραλάμπους,ΝΤΑΣΙΟΥ ΜΑΡΙΑ του Σωτηρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΪΑ (ΒΑΝΕΣΣΑ) του Αθανασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΡΑΧΑΜΗ ΕΙΡΗΝΗ του Ελευθερίου,ΠΑΠΑΤΟΛΗΣ ΠΑΝΤΕΛΗΣ του Ναπολέωντα,ΣΤΑΜΙΔΗ ΒΑΣΙΛΙΚΗ του Χρήστου,ΤΖΑΛΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΤΣΟΥΡΗΣ ΧΑΡΑΛΑΜΠΟΣ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΚΑΝΔΡΕΛΗ ΠΑΡΑΣΚΕΥΗ του Σωτηρίου,ΜΙΧΟΥ ΦΩΤΕΙΝΗ του Δημητρίου,ΠΑΚΟΣ ΑΛΕΞΑΝΔΡΟΣ του Ευθυμίου,ΠΑΠΑΝΔΡΕΟΥ ΠΕΤΡΟΣ του Κωνσταντίνου,ΣΤΡΑΤΟΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΤΣΙΛΙΚΑΤΗΣ ΧΡΗΣΤΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΑΘΑΝΑΣΙΟΥ ΧΡΥΣΑΝΘΗ του Παντελή,ΓΡΑΒΟΣ ΕΥΑΓΓΕΛΟΣ του Δημοσθένους,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΚΟΓΚΟΥ ΙΟΥΛΙΑ του Φιλίππου,ΖΑΦΕΙΡΗ ΓΙΟΛΑΝΤΑ του Χρήστου,ΚΟΥΜΕΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΠΑΠΑΜΙΧΑΗΛ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,ΤΣΙΩΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Λαϊκή Ενότητα,ΓΟΔΕΒΕΝΟΣ ΠΕΤΡΟΣ του Γεωργίου,ΓΟΥΡΖΗ ΕΥΤΥΧΙΑ του Εμμανουήλ,ΜΠΟΥΚΗ ΕΛΕΝΗ του Φωτίου,ΤΣΑΚΑΝΙΚΑΣ ΓΕΩΡΓΙΟΣ του Πέτρου,ΜέΡΑ25,ΒΑΚΟΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Θεοχάρη,ΛΑΜΠΡΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΛΙΟΥΤΑ ΛΑΜΠΡΙΝΗ (ΠΑΣΧΑΛΙΝΑ) του Κωνσταντίνου,ΜΠΑΪΡΑΚΤΑΡΗ ΡΟΔΑΝΘΗ-ΑΡΙΣΤΕΑ του Ιωάννη,ΤΣΟΥΝΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΒΟΣΤΙΝΙΩΤΗΣ) του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΡΑΒΑΝΤΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Καίσαρος  Χοϊδά,ΖΟΥΚΗ ΣΤΑΥΡΟΥΛΑ του Ιωάννη,ΜΠΙΚΑ ΕΛΛΗ του Ιωάννη,ΜΠΙΚΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΠΑΠΠΑΣ ΦΙΛΙΠΠΟΣ του Χριστόδουλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΜΠΡΟΣ ΧΡΗΣΤΟΣ του Νικολάου,ΛΙΤΣΙΟΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΤΖΑΛΑΛΗ ΧΡΙΣΤΙΝΑ του Στέργιου
18 - Ιωαννίνων,18 E.T. Δήμου Βορείων Τζουμέρκων,418,194,3,0,3,191,99,6,24,15,11,16,44,17,49,21,5,13,18,15,2,8,0,0,0,0,0,0,14,8,5,3,2,3,0,0,19,0,0,0,2,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,1,1,0,0,0,0,0,0,0,2,0,0,2
18 - Ιωαννίνων,19 E.T. Δήμου Βορείων Τζουμέρκων,425,221,0,0,0,221,106,11,33,19,18,6,46,23,61,10,14,12,20,29,3,7,1,0,0,0,0,0,24,8,12,0,5,9,0,2,16,10,1,0,4,3,3,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0,0,0,4,0,0,1
18 - Ιωαννίνων,20 E.T. Δήμου Βορείων Τζουμέρκων,496,264,1,1,2,262,136,8,25,24,9,6,62,37,87,12,13,25,23,34,4,17,2,0,0,0,1,1,13,7,2,3,1,6,1,0,13,6,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,4,1,1,3
18 - Ιωαννίνων,21 E.T. Δήμου Βορείων Τζουμέρκων,241,157,0,0,0,157,98,3,38,8,3,2,39,13,21,5,1,9,6,7,1,1,1,0,0,0,0,0,13,5,1,0,1,6,3,2,16,5,0,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,22 E.T. Δήμου Βορείων Τζουμέρκων,177,82,0,0,0,82,45,2,5,10,6,2,7,19,13,1,1,2,1,1,0,3,1,0,0,0,0,0,8,3,1,0,0,6,1,0,5,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,23 E.T. Δήμου Βορείων Τζουμέρκων,112,56,0,0,0,56,32,4,5,7,5,2,10,6,7,1,3,1,1,3,1,1,0,0,0,0,0,0,8,2,3,0,1,3,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
18 - Ιωαννίνων,24 E.T. Δήμου Βορείων Τζουμέρκων,429,183,3,2,5,178,84,4,8,17,5,2,37,32,51,3,15,28,10,12,2,5,2,1,0,0,2,1,29,16,6,2,4,16,1,0,6,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
18 - Ιωαννίνων,25 E.T. Δήμου Βορείων Τζουμέρκων,458,190,2,1,3,187,90,6,21,15,7,6,31,39,47,6,8,20,5,19,1,5,1,0,0,0,0,0,25,8,2,1,6,2,8,0,10,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,4,0,1,1,0,1,2,1,0,0,0,1,1,0,0,0
18 - Ιωαννίνων,26 E.T. Δήμου Βορείων Τζουμέρκων,368,225,4,0,4,221,64,9,25,11,7,5,21,22,101,10,5,76,18,10,5,15,4,1,1,1,2,0,38,10,10,0,18,16,6,1,4,1,1,0,0,1,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,4,0,3,1,1,0,0,0,0,0
18 - Ιωαννίνων,27 E.T. Δήμου Βορείων Τζουμέρκων,92,53,0,0,0,53,16,0,4,5,0,0,8,10,9,5,3,6,2,0,0,0,0,0,0,0,0,0,20,6,0,0,7,2,2,14,7,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,28 E.T. Δήμου Βορείων Τζουμέρκων,469,250,7,0,7,243,104,2,18,28,9,4,25,28,83,14,16,31,35,17,7,10,2,0,0,0,0,0,33,6,7,1,4,16,7,2,6,2,1,0,1,1,0,2,5,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,29 E.T. Δήμου Βορείων Τζουμέρκων,187,91,2,0,2,89,43,3,9,7,12,1,16,7,26,4,2,12,5,9,1,3,1,1,0,0,0,0,9,5,2,0,3,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,30 E.T. Δήμου Βορείων Τζουμέρκων,146,103,2,0,2,101,46,1,14,11,3,0,9,15,25,2,0,6,10,7,5,6,0,0,0,0,0,0,23,6,0,1,13,3,3,16,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,31 E.T. Δήμου Βορείων Τζουμέρκων,125,72,3,0,3,69,34,3,2,6,2,0,18,2,15,3,1,5,3,6,2,2,1,0,0,1,0,0,7,0,4,0,0,2,1,2,4,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,32 E.T. Δήμου Βορείων Τζουμέρκων,181,88,2,1,3,85,48,3,7,13,4,1,14,17,16,0,0,4,4,9,0,0,0,0,0,0,0,0,14,6,1,1,2,4,5,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,33 E.T. Δήμου Βορείων Τζουμέρκων,573,321,2,3,5,316,155,8,27,34,11,4,51,44,84,21,5,50,19,5,3,7,3,1,0,0,0,0,34,7,12,2,7,14,4,1,12,4,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,9,6,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,2,2,1,0,0,0,0,0,0,3,0,0,0
18 - Ιωαννίνων,34 E.T. Δήμου Δωδώνης,383,270,1,1,2,268,105,21,11,23,12,3,37,17,98,21,15,14,38,22,19,14,8,1,0,0,2,0,19,12,2,1,3,5,3,2,11,1,0,8,0,0,8,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,10,0,5,2,0,2,1,0,0,0,0,0,2,1,0,0
18 - Ιωαννίνων,35 E.T. Δήμου Δωδώνης,259,129,2,0,2,127,34,4,6,9,2,1,3,15,54,24,9,5,18,12,11,9,3,0,0,0,2,2,21,9,1,1,3,9,1,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,3,0,3,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,36 E.T. Δήμου Δωδώνης,240,123,1,1,2,121,37,2,4,8,6,3,12,19,49,25,6,8,13,22,0,6,1,1,0,0,1,0,26,9,11,1,4,10,3,1,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
18 - Ιωαννίνων,37 E.T. Δήμου Δωδώνης,193,126,1,0,1,125,35,2,7,10,3,2,11,19,61,12,7,19,10,28,10,7,2,0,0,1,0,0,14,4,3,1,0,7,1,2,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18 - Ιωαννίνων,38 E.T. Δήμου Δωδώνης,311,211,4,2,6,205,69,10,5,22,10,0,24,26,90,27,7,16,27,28,17,20,5,4,0,2,1,1,23,3,2,3,12,4,3,5,2,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,39 E.T. Δήμου Δωδώνης,536,318,2,1,3,315,118,6,8,16,18,9,34,37,102,29,16,24,29,33,4,12,9,4,1,2,6,1,41,9,8,6,12,13,11,2,13,1,0,4,6,2,1,2,7,1,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,4,3,1,2,0,0,0,0,0,0,5,3,2,1
18 - Ιωαννίνων,40 E.T. Δήμου Δωδώνης,246,118,0,1,1,117,29,3,2,8,5,3,9,10,66,20,22,33,33,19,2,2,0,0,0,0,0,0,14,1,1,0,9,1,13,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,41 E.T. Δήμου Δωδώνης,338,163,2,1,3,160,44,6,10,5,12,2,17,11,83,15,16,44,43,27,3,6,5,3,0,3,0,0,16,1,0,2,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,42 E.T. Δήμου Δωδώνης,274,136,0,1,1,135,52,12,10,10,8,4,18,16,64,12,12,24,13,25,5,9,1,0,0,0,0,0,8,2,4,2,1,4,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,43 E.T. Δήμου Δωδώνης,322,138,5,3,8,130,44,6,4,10,5,3,12,17,58,9,15,21,14,15,3,16,3,1,1,0,1,0,7,2,2,0,3,1,1,1,7,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,44 E.T. Δήμου Δωδώνης,489,334,9,3,12,322,130,5,24,22,15,6,48,32,75,18,12,20,19,23,6,6,9,1,1,1,1,1,64,16,13,2,20,23,7,6,9,1,0,0,3,3,1,1,7,0,2,1,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,13,0,2,5,2,1,1,1,0,0,1,0,7,1,4,2
18 - Ιωαννίνων,45 E.T. Δήμου Δωδώνης,299,118,3,1,4,114,44,3,3,7,13,1,12,12,47,15,8,13,13,15,3,7,3,1,1,1,0,0,10,1,1,0,3,3,6,0,3,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,46 E.T. Δήμου Δωδώνης,257,112,3,1,4,108,41,11,8,9,3,4,11,11,48,6,2,21,11,8,13,5,1,0,0,0,0,0,15,7,1,1,2,8,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,47 E.T. Δήμου Δωδώνης,351,170,4,1,5,165,62,10,8,3,3,2,23,18,59,2,13,25,19,6,21,5,3,0,0,0,1,0,24,5,8,1,3,6,7,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,3,2,1,1
18 - Ιωαννίνων,48 E.T. Δήμου Δωδώνης,488,236,2,1,3,233,84,12,9,17,9,2,40,15,94,15,10,28,35,23,31,18,0,0,0,0,0,0,34,6,14,5,5,9,11,2,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,6,2,0,3,2,1,3,1,1,0,0,0,1,0,1,0
18 - Ιωαννίνων,49 E.T. Δήμου Δωδώνης,208,110,0,0,0,110,32,4,7,11,2,1,6,5,50,13,5,21,11,27,5,2,5,3,2,1,2,0,13,9,8,1,2,0,2,0,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,50 E.T. Δήμου Δωδώνης,267,144,1,1,2,142,59,14,1,9,8,6,25,14,44,9,3,11,13,27,2,2,7,2,1,1,1,0,7,1,1,0,1,2,3,0,11,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
18 - Ιωαννίνων,51 E.T. Δήμου Δωδώνης,325,190,1,1,2,188,75,5,16,17,11,5,24,16,82,13,20,39,24,18,5,17,3,1,0,0,2,1,18,9,5,2,4,5,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
18 - Ιωαννίνων,52 E.T. Δήμου Δωδώνης,123,75,1,2,3,72,18,2,5,4,0,3,7,9,25,8,3,3,7,12,3,4,1,1,0,0,1,0,19,7,13,0,11,5,0,0,6,0,0,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,53 E.T. Δήμου Δωδώνης,538,348,2,3,5,343,168,4,22,36,26,6,50,54,89,20,15,10,38,30,8,5,1,0,1,0,0,1,44,9,1,0,22,9,8,2,20,4,2,4,1,0,1,11,3,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,5,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0
