ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΚΡΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΛΙΒΑΝΙΟΥ ΖΩΗ του Ευαγγέλου,ΛΥΚΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΝΤΕΛΚΗ ΚΥΠΑΡΙΣΣΙΑ (ΠΑΡΗ) του Νικολάου,ΠΡΑΤΣΟΛΗΣ  ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Κλεάνθη,ΣΙΜΩΣΗ ΓΕΩΡΓΙΑ του Αθανασίου,ΧΑΤΖΗΓΙΑΝΝΑΚΗΣ  ΜΙΛΤΙΑΔΗΣ του Ευαγγέλου,Νέα Δημοκρατία,ΑΡΓΥΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΖΕΜΠΙΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΑΡΑΜΠΑΤΣΩΛΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ (ΣΙΜΟΣ) του Βασιλείου,ΜΑΝΩΛΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΜΙΜΙΚΟΥ ΕΥΑΓΓΕΛΙΑ του Αλεξάνδρου,ΠΑΠΠΑ ΑΝΝΑ του Δημητρίου,ΠΝΕΥΜΑΤΙΚΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΑΧΑΡΙΑΔΟΥ ΟΥΡΑΝΙΑ του Βασιλείου,ΚΑΡΑΓΑΣΗΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου,ΚΕΛΕΠΟΥΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΚΟΤΡΩΝΗΣ ΧΡΗΣΤΟΣ του Σταύρου,ΜΠΑΡΜΠΟΥΡΗΣ Ευάγγελος του Σπυρίδωνος,ΜΠΟΥΡΝΙΩΤΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΡΑΛΛΗ ΙΩΑΝΝΑ του Αναστασίου,ΧΑΛΙΩΤΗ ΑΡΓΥΡΩ του Ελευθερίου,Κίνημα Αλλαγής,ΓΕΝΝΗΜΑΤΑ ΦΩΤΕΙΝΗ (ΦΩΦΗ) του Γεωργίου,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ του Αγγέλου,ΜΠΟΥΡΟΔΗΜΟΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΠΑΛΑΙΟΛΟΓΟΥ - ΝΙΚΟΛΟΠΟΥΛΟΥ ΜΑΡΙΑ του Αθανασίου,ΠΑΠΑΔΙΟΧΟΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΣΗΜΙΝΑ (ΜΙΝΑ) του Δημητρίου,ΠΑΥΛΟΥ ΧΡΗΣΤΟΣ του Ταξιάρχη,ΣΕΠΕΤΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε.,ΑΥΛΩΝΙΤΗ ΔΗΜΗΤΡΑ (ΤΑΝΙΑ) του Ευαγγέλου,ΓΕΩΡΓΑΝΤΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΜΑΡΙΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΟΣ του Βελισσαρίου,ΝΤΟΥΡΟΥ ΙΩΑΝΝΑ (ΣΟΦΙΑ) του Πέτρου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΤΖΑΒΑΡΑΣ ΙΩΑΝΝΗΣ του Ευαγγέλου - Αντωνίου,ΤΣΙΒΙΚΑ ΓΡΑΝΕΤΑ του Ευαγγέλου,Ένωση Κεντρώων,ΒΛΑΧΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΓΙΑΝΝΑΚΟΥΡΗ ΑΝΝΑ - ΜΑΡΙΑ του Αναστασίου,ΓΚΑΒΑΛΗΣ ΝΙΚΟΛΑΟΣ του Προκοπίου,ΓΟΥΡΓΙΩΤΗ ΣΤΑΜΑΤΙΑ του Κωνσταντίνου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ του Σταμούλη,ΝΤΑΡΛΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΣΕΤΤΑ ΕΛΕΝΗ του Σταύρου,ΧΑΤΖΗΑΘΑΝΑΣΙΟΥ ΝΙΚΟΛΑΟΣ του Αθανασίου,Ο.Κ.Δ.Ε.,ΘΕΟΔΩΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Φιλίππου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΦΕΙΑΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΜΕΘΕΝΙΤΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Αναστασίου,ΜΠΟΥΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Χαράλαμπου,Ελλήνων Συνέλευσις,ΘΕΜΕΛΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Ιωάννη,ΚΩΝΣΤΑΝΤΑΓΚΑ ΔΕΣΠΟΙΝΑ του Γεωργίου,ΛΑΜΠΡΙΝΟΣ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΜΟΣΧΗ ΤΣΑΜΠΙΚΑ (ΤΑΜΜΥ) του Κυριάκου,ΧΑΪΤΑΣ ΗΛΙΑΣ του Χαράλαμπου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΑΓΓΕΛΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΙΩΝΗΣ ΕΥΑΓΓΕΛΟΣ του Ιωάννη,ΜΠΑΣΟΥΚΟΣ ΑΠΟΣΤΟΛΟΣ του Ανέστη,ΜΩΡΑΪΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σταύρου,ΠΟΛΙΤΗΣ ΝΙΚΟΛΑΟΣ του Ευαγγέλου,ΠΡΩΤΟΝΟΤΑΡΙΟΥ ΑΡΤΕΜΗΣΙΑ του Νικολάου,ΣΙΜΙΤΖΗ ΕΛΕΝΗ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΤΣΙΛΙΧΡΗΣΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΕΔΕΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΖΑΝΙΔΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Εμμανουήλ,ΚΑΝΤΟΥΡΟΣ ΣΤΥΛΙΑΝΟΣ του Βασιλείου,ΝΤΟΥΜΑ ΑΡΙΑΔΝΗ του Νικολάου,ΡΟΥΤΣΗΣ ΠΑΣΧΑΛΗΣ του Βασιλείου,ΧΑΤΖΗΘΕΟΔΩΡΟΥ ΔΗΜΗΤΡΑ του Στυλιανού,Λαϊκή Ενότητα,ΓΚΙΜΤΣΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΛΑΜΠΡΟΥ ΑΘΑΝΑΣΙΟΣ του Χαραλάμπους,ΤΑΜΠΟΥΡΑΤΖΗ ΔΗΜΗΤΡΑ του Αναστασίου,ΜέΡΑ25,ΑΒΔΕΛΑΣ ΕΥΑΓΓΕΛΟΣ του Λεωνίδα,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜΕΣΙΤΗ ΔΕΣΠΟΙΝΑ του Μαρσέλου,ΠΑΠΑΪΩΑΝΝΟΥ ΙΩΑΝΝΗΣ του Δημήτρη,ΣΚΙΑΔΑΡΕΣΗ ΑΝΝΑ του Γεράσιμου,ΤΡΙΜΙΝΤΖΙΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΘΑΝΑΣΙΑΔΗ ΝΑΤΑΛΙΑ του Ιωάννη,ΔΡΑΚΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Παναγιώτη,ΚΑΤΣΟΣ ΒΑΓΙΑΣ του Δημητρίου,ΚΡΙΝΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΚΡΟΤΣΕΤΗ ΓΕΩΡΓΙΑ του Βασιλείου,ΤΣΙΡΜΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΜΙΝΤΖΙΦΙΡΗ ΕΛΕΝΗ του Αλεξάνδρου,ΡΟΥΜΠΗΣ ΕΥΑΓΓΕΛΟΣ του Ευθυμίου
37 - Ευβοιας,19 E.T. Δήμου Διρφύων - Μεσσαπίων,427,279,4,1,5,274,85,20,31,15,7,0,11,3,21,120,18,35,7,36,8,11,18,48,7,1,0,0,0,6,0,0,0,18,0,4,12,0,0,0,4,0,13,5,1,4,1,4,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,2,4,1,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,6,4,3
37 - Ευβοιας,20 E.T. Δήμου Διρφύων - Μεσσαπίων,350,208,2,2,4,204,70,20,20,7,7,3,3,2,19,75,18,27,7,17,4,7,13,23,9,1,1,1,0,6,1,0,0,17,0,8,9,0,0,1,1,3,7,1,0,2,1,2,0,1,0,6,3,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,3,2,1,1,3,1,0,1,1,3,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,1,0,1,1,0,0,1,0,0,2,2,2
37 - Ευβοιας,21 E.T. Δήμου Διρφύων - Μεσσαπίων,364,231,2,2,4,227,74,19,29,5,6,2,18,5,23,88,17,22,6,30,7,14,17,34,11,4,0,1,1,10,1,0,0,30,0,13,21,3,0,3,2,0,8,3,0,2,0,3,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,2,2,3,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4
37 - Ευβοιας,22 E.T. Δήμου Διρφύων - Μεσσαπίων,505,318,5,1,6,312,90,22,16,15,6,7,17,8,11,111,18,45,3,40,7,16,17,35,11,1,1,1,0,2,2,2,1,39,0,22,8,0,0,4,4,4,14,2,0,8,0,4,1,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,1,1,1,0,2,0,0,8,2,1,0,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,15,0,4,3,1,4,2,2,0,0,0,0,0,0,12,8,5
37 - Ευβοιας,23 E.T. Δήμου Διρφύων - Μεσσαπίων,500,327,8,4,12,315,90,23,31,18,8,2,7,10,8,131,25,40,6,49,11,14,20,45,9,4,1,0,0,1,0,1,2,34,0,19,23,0,0,2,1,2,10,0,0,0,0,1,0,2,2,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,0,9,1,2,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,5,1,1,2,0,1,0,2,1,0,1,0,1,0,10,7,4
37 - Ευβοιας,24 E.T. Δήμου Διρφύων - Μεσσαπίων,542,373,2,1,3,370,108,27,30,14,8,3,18,9,18,160,29,63,2,60,11,20,22,58,9,0,0,2,1,1,3,0,1,33,8,15,15,2,0,1,1,1,8,1,1,2,1,0,0,1,1,6,1,0,0,0,0,1,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,19,2,4,1,8,4,2,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,15,5,3,3,1,4,3,1,1,1,0,0,0,0,7,4,3
37 - Ευβοιας,25 E.T. Δήμου Διρφύων - Μεσσαπίων,520,340,8,0,8,332,103,19,16,6,5,4,28,8,28,114,18,41,3,32,14,9,19,30,9,0,1,3,1,4,1,1,1,49,0,24,25,0,2,4,4,1,13,6,0,4,2,3,0,4,3,5,1,1,3,0,0,0,3,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,19,1,6,4,5,3,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,3,0,0,0,1,0,1,11,5,5
37 - Ευβοιας,26 E.T. Δήμου Διρφύων - Μεσσαπίων,552,347,2,2,4,343,134,47,41,13,8,4,15,14,30,113,28,42,7,28,6,14,19,26,14,0,0,0,0,0,0,0,0,36,0,22,14,1,0,2,1,3,11,7,0,4,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,1,3,2,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,2,2,0,1,2,2,3,0,0,0,0,0,0,2,0,0
37 - Ευβοιας,27 E.T. Δήμου Διρφύων - Μεσσαπίων,527,334,5,4,9,325,121,23,29,18,10,4,20,3,32,110,19,43,1,28,14,15,14,37,10,1,3,4,4,2,0,3,2,30,0,16,17,1,1,2,5,2,11,1,1,4,0,3,0,2,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,14,5,4,2,4,1,4,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,14,0,2,4,3,2,1,3,2,1,0,0,2,1,6,3,3
37 - Ευβοιας,28 E.T. Δήμου Διρφύων - Μεσσαπίων,513,307,1,2,3,304,94,24,32,12,0,2,21,6,13,95,17,34,1,38,7,8,16,24,13,1,1,2,0,3,1,0,0,38,7,15,18,2,1,5,3,1,17,2,0,12,1,4,0,7,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,12,0,1,1,6,1,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,13,1,0,2,1,4,1,3,1,0,0,0,0,0,12,7,6
37 - Ευβοιας,29 E.T. Δήμου Διρφύων - Μεσσαπίων,528,349,5,3,8,341,115,36,35,24,14,4,10,10,19,132,27,35,9,40,15,19,14,39,11,3,1,1,1,3,3,1,2,43,0,23,22,1,0,2,1,2,4,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,5,2,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,0,2,2,1,2,0,6,1,2,0,2,3,0,8,2,6
37 - Ευβοιας,30 E.T. Δήμου Διρφύων - Μεσσαπίων,513,314,8,1,9,305,104,18,17,11,6,11,16,6,16,122,19,43,3,45,3,12,14,43,5,2,1,0,1,2,1,1,0,33,0,15,18,0,0,2,0,0,7,2,0,2,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,9,3,1,1,2,1,1,0,0,0,0,4,1,2,0,0,0,0,1,0,1,1,8,1,1,2,1,1,0,0,0,0,0,0,0,0,6,2,2
37 - Ευβοιας,31 E.T. Δήμου Διρφύων - Μεσσαπίων,529,337,8,1,9,328,118,39,39,19,4,7,17,12,29,116,24,42,3,39,13,12,17,40,8,2,0,1,1,4,2,1,0,27,0,11,12,2,0,3,1,3,12,3,0,0,2,2,0,4,2,2,2,1,0,1,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,0,16,2,2,2,11,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2,3,6,4,2,1,1,0,0,1,0,8,5,4
37 - Ευβοιας,32 E.T. Δήμου Διρφύων - Μεσσαπίων,206,142,4,0,4,138,58,7,9,3,4,1,19,5,18,20,5,4,1,11,0,3,3,4,4,3,0,0,0,0,0,2,1,34,0,9,25,0,0,2,9,0,13,2,1,7,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0
37 - Ευβοιας,33 E.T. Δήμου Διρφύων - Μεσσαπίων,226,126,1,1,2,124,37,17,15,11,1,2,5,3,9,40,10,19,1,16,2,2,1,7,2,2,1,0,0,0,0,0,0,29,0,1,29,0,3,0,0,0,3,0,1,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,4,0,0,0,0,0,0,0,2,1,2
37 - Ευβοιας,34 E.T. Δήμου Διρφύων - Μεσσαπίων,479,298,2,2,4,294,79,20,28,20,3,6,15,8,0,103,25,40,2,45,1,12,17,18,11,1,4,1,3,2,1,1,3,46,10,23,26,0,0,4,3,0,18,2,1,12,4,2,0,13,1,7,4,0,2,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,0,1,2,3,1,0,1,0,0,0,8,5,2
37 - Ευβοιας,35 E.T. Δήμου Διρφύων - Μεσσαπίων,93,68,1,0,1,67,30,1,12,0,3,0,8,1,8,14,5,8,1,6,0,1,1,3,1,0,0,0,0,0,0,0,0,15,0,4,11,1,0,1,6,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37 - Ευβοιας,36 E.T. Δήμου Διρφύων - Μεσσαπίων,506,326,2,1,3,323,108,33,31,12,4,8,27,11,6,135,16,45,10,46,10,11,22,46,11,3,1,3,0,4,0,0,0,18,0,9,8,0,2,2,0,2,9,1,1,0,2,1,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,5,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,1,4,1,2,1,1,0,0,0,1,5,4,1
37 - Ευβοιας,37 E.T. Δήμου Διρφύων - Μεσσαπίων,446,233,10,2,12,221,104,18,14,19,6,2,24,4,29,64,13,30,1,23,3,5,6,17,6,1,1,2,1,1,0,2,2,14,0,5,2,0,0,2,3,1,8,1,0,3,0,1,0,4,2,2,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,6,3,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,4,0,0,2,0,1,2,1,0,0,0,0,0,0,6,3,3
37 - Ευβοιας,38 E.T. Δήμου Διρφύων - Μεσσαπίων,436,272,8,1,9,263,107,21,15,12,2,7,11,3,26,73,11,22,0,28,6,19,4,25,4,0,0,0,0,1,0,1,1,21,21,5,7,0,0,1,5,0,19,2,1,6,0,2,0,2,2,3,2,0,0,0,2,0,0,0,0,0,2,0,2,0,3,2,1,1,0,0,0,0,18,1,3,0,6,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1
37 - Ευβοιας,39 E.T. Δήμου Διρφύων - Μεσσαπίων,426,220,8,3,11,209,84,9,18,8,2,5,22,4,28,78,20,19,1,14,3,12,9,36,6,1,1,1,1,2,1,0,0,11,2,6,8,0,0,1,1,0,10,1,0,4,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,2,1,2,3,0,0,1,0,0,0,4,2,3
37 - Ευβοιας,40 E.T. Δήμου Διρφύων - Μεσσαπίων,305,215,0,1,1,214,71,21,14,7,1,4,21,4,14,74,12,1,28,14,4,10,28,0,6,0,0,0,0,0,0,0,0,35,4,20,23,0,1,1,1,0,6,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,2,1,0,2,2,1,0,0,0,0,0,0,5,0,0
37 - Ευβοιας,41 E.T. Δήμου Διρφύων - Μεσσαπίων,168,91,2,0,2,89,51,19,17,8,0,1,8,4,5,22,4,13,1,4,0,1,3,6,4,0,0,0,0,0,0,1,1,5,0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,1,0,0,0,2,2,1
37 - Ευβοιας,42 E.T. Δήμου Διρφύων - Μεσσαπίων,26,10,0,0,0,10,6,4,2,0,0,0,1,0,1,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37 - Ευβοιας,43 E.T. Δήμου Διρφύων - Μεσσαπίων,486,318,6,2,8,310,144,57,46,24,4,3,28,8,18,83,15,43,1,29,4,8,12,25,13,5,1,2,2,3,0,3,1,26,0,13,14,0,1,0,1,0,15,1,0,4,7,0,0,5,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4,3,2,0,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,8,1
37 - Ευβοιας,44 E.T. Δήμου Διρφύων - Μεσσαπίων,409,289,1,1,2,287,106,28,32,18,6,2,25,4,18,106,15,37,1,45,3,17,11,37,2,0,0,1,1,1,0,0,0,30,9,10,13,0,2,3,0,0,18,0,1,4,9,1,0,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,3,2,0,0,0,0,0,0,0,4,1,2
37 - Ευβοιας,45 E.T. Δήμου Διρφύων - Μεσσαπίων,486,273,4,4,8,265,105,25,30,22,10,10,11,19,26,98,22,16,16,37,3,8,12,46,3,0,0,0,0,2,0,0,0,19,0,12,6,1,0,1,0,0,15,0,1,8,5,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,8,7,5
37 - Ευβοιας,46 E.T. Δήμου Διρφύων - Μεσσαπίων,101,65,0,0,0,65,18,6,1,1,1,1,1,1,1,22,0,5,4,19,0,0,10,3,4,1,1,0,1,2,0,1,0,17,0,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37 - Ευβοιας,47 E.T. Δήμου Διρφύων - Μεσσαπίων,82,52,2,0,2,50,6,2,2,0,0,1,2,3,1,24,3,4,2,13,1,3,7,8,2,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,2,0,3,2,1,0,1,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
37 - Ευβοιας,48 E.T. Δήμου Διρφύων - Μεσσαπίων,447,272,2,3,5,267,77,25,22,14,6,5,16,10,9,120,17,38,7,38,14,10,18,35,7,1,1,1,1,1,1,1,1,31,0,21,14,0,0,4,0,0,8,1,1,6,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,3,1,4,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,3,1,2,0,2,1,0,1,1,0,1,0,0,0,6,4,3
37 - Ευβοιας,49 E.T. Δήμου Διρφύων - Μεσσαπίων,400,260,8,11,19,241,66,12,10,10,2,2,13,3,3,111,16,32,8,36,10,11,29,30,6,2,0,0,1,1,0,1,1,23,0,8,11,0,0,1,0,0,6,1,0,3,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,2,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,7,4,0,3,0,3,0,1,0,0,1,0,0,0,6,2,2
37 - Ευβοιας,50 E.T. Δήμου Διρφύων - Μεσσαπίων,445,276,4,1,5,271,86,18,28,17,3,5,26,6,8,108,14,20,4,48,5,14,24,40,4,0,0,0,1,1,3,0,0,30,0,21,13,0,0,2,0,0,7,1,0,3,0,2,0,1,1,1,0,0,0,0,0,0,1,1,0,0,3,1,2,0,1,1,1,0,0,0,0,0,17,3,8,3,5,2,2,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,3,0,0,0,0,0,1,2,0,1,0,0,0,0,5,1,2
37 - Ευβοιας,51 E.T. Δήμου Διρφύων - Μεσσαπίων,317,222,1,2,3,219,86,15,16,9,4,3,43,4,4,94,18,32,3,31,4,10,12,29,3,0,0,2,2,0,1,0,0,19,0,6,14,1,1,1,0,0,4,0,1,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,2,0,1,1,0,0,0,0,0,0,2,1,1
37 - Ευβοιας,52 E.T. Δήμου Διρφύων - Μεσσαπίων,437,304,3,0,3,301,95,23,29,17,2,6,41,12,23,133,13,48,3,9,2,9,28,33,7,0,0,0,2,0,1,1,2,34,0,18,23,2,0,3,3,2,7,0,2,4,2,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,0,2,1,1,1,0,0,0,1,0,12,4,12
