ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΕΥΑΓΓΕΛΟΣ (ΑΚΗΣ) του Αθανασίου,ΚΑΡΑΠΑΤΑΚΗΣ ΗΛΙΑΣ του Κωνσταντίνου,ΚΟΚΚΙΝΑΚΗ ΦΩΤΕΙΝΗ του Δημητρίου,ΚΟΥΤΣΙΦΕΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜΕΪΚΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΜΠΑΛΛΗΣ ΣΥΜΕΩΝ (ΜΑΚΗΣ) του Γεωργίου,ΠΑΠΑΝΑΤΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Στεργίου,ΧΡΥΣΟΒΕΛΩΝΗ ΜΑΡΙΝΑ του Γεωργίου,Νέα Δημοκρατία,ΑΝΑΓΝΩΣΤΟΥ ΖΑΦΕΙΡΟΥΛΑ του Χαράλαμπου,ΚΑΛΤΣΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΛΙΟΥΠΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΜΑΚΡΗ ΖΩΗ (ΖΕΤΤΑ) του Μιχαήλ,ΜΑΡΑΒΕΓΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αριστοτέλη,ΜΠΟΥΚΩΡΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΠΑΤΣΟΓΙΑΝΝΗ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΤΡΙΑΝΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΛΑΧΑΚΗ ΜΑΡΙΑ του Χρήστου,ΗΛΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΚΑΛΟΥΤΣΑΣ ΑΡΤΕΜΙΟΣ του Ματθαίου,ΚΩΣΤΟΠΟΥΛΟΥ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΙΦΙΓΕΝΕΙΑ (ΕΦΗ) του Αθανασίου,ΠΕΤΡΟΥΛΙΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ (ΑΚΗΣ ) του Ιωάννη,ΣΥΡΟΣ ΓΕΩΡΓΙΟΣ του Χρίστου,ΣΥΡΤΑΔΙΩΤΗΣ ΘΕΟΔΩΡΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΙΩΑΝΝΗΣ του Ιωάννη,ΜΠΕΛΤΖΕΝΙΤΗ ΜΑΓΔΑΛΗΝΗ (Μάνια) του Χρήστου,ΠΛΑΣΤΑΡΑΣ ΤΡΥΦΩΝ του Ευσταθίου,ΣΑΚΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΦΟΡΤΟΥΝΑ ΕΛΕΝΗ του Νικολάου,ΧΑΤΖΗΔΗΜΗΤΡΙΟΥ ΦΩΤΙΟΣ του Ιωάννη,ΧΑΥΤΟΥΡΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΧΡΙΣΤΟΔΟΥΛΙΑ ΕΛΕΝΗ του Κωνσταντίνου,Κ.Κ.Ε.,ΑΚΡΙΒΟΥ ΜΥΡΤΩ του Αποστόλου,ΡΗΓΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Αποστόλου,ΡΙΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Δημητρίου,ΡΟΥΣΗ - ΚΩΤΗ ΑΓΟΡΗ (ΡΙΤΣΑ) του Γεωργίου,ΡΟΥΣΣΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΣΤΕΡΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ελευθερίου,ΤΖΙΟΥΜΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΤΣΑΛΟΥΧΑΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ένωση Κεντρώων,ΒΟΥΛΓΑΡΗ ΕΙΡΗΝΗ-ΧΡΥΣΟΒΑΛΑΝΤΟΥ του Εμμανουήλ,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Τρύφωνα,ΚΑΒΑΔΕΛΛΑ ΑΘΗΝΑ του Κωνσταντίνου,ΜΠΟΓΟΣΙΑΝ ΑΡΑΜ του Χραντ,ΠΕΤΣΗΣ ΙΩΑΝΝΗΣ του Ευρυπίδη,ΧΡΙΣΤΟΠΟΥΛΟΥ ΕΥΤΥΧΙΑ του Σπυρίδωνα,Ο.Κ.Δ.Ε.,ΣΓΟΥΡΑΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΓΓΙΝΑ ΗΡΩ του Θεοδοσίου,ΠΑΠΑΕΥΣΤΑΘΙΟΥ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΣΚΟΥΦΟΓΛΟΥ ΕΜΜΑΝΟΥΗΛ - ΣΤΥΛΙΑΝΟΣ του Παναγιώτη,ΣΤΕΦΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΧΟΥΛΙΑΡΑ ΓΡΑΜΜΑΤΟΥΛΑ (ΜΑΤΙΝΑ) του Βασιλείου,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΔΗΜΗΤΡΙΟΣ του Ευαγγέλου,ΚΑΜΠΟΥΡΗ ΕΥΑΓΓΕΛΙΑ του Σπυρίδωνα-Εμμανουήλ,ΚΑΤΣΑΜΠΑΣ ΒΑΪΟΣ του Γεωργίου,ΠΑΝΑΓΙΩΤΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ευαγγέλου,ΡΟΪΔΗ ΙΩΑΝΝΑ-ΜΑΡΙΑ του Βασιλείου,ΣΑΜΑΡΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Ιωάννη,ΧΑΤΖΟΠΟΥΛΟΥ ΕΛΕΝΗ χήρα Γεωργίου,ΧΛΕΜΠΟΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΜΗΛΙΟΡΔΟΥ ΕΛΕΝΗ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΜΕΝΤΖΙΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΓΙΑΝΝΙΤΣΑΚΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΜΑΡΚΑΚΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΜΑΡΚΑΤΑ ΑΘΑΝΑΣΙΑ του Ευθυμίου,ΜΠΕΝΟΥ ΑΝΘΟΥΛΑ-ΕΙΡΗΝΗ του Θεοδώρου,ΠΑΡΑΠΑΡΕΚΗ ΜΑΓΔΑΛΗΝΗ του Νικολάου,ΠΛΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Λεωνίδα,ΤΣΑΚΑΝΙΚΑΣ ΑΠΟΣΤΟΛΟΣ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΕΑΤΟΣ ΓΡΗΓΟΡΙΟΣ του Γερασίμου,ΒΛΑΧΟΣΤΑΜΑΤΗΣ ΕΜΜΑΝΟΥΗΛ του Παντελή,ΚΟΥΤΣΙΜΠΟΥ ΕΛΕΝΗ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΑΒΤΖΗΑΣΛΑΝ ΑΠΟΣΤΟΛΟΣ του Φανουρίου,ΜΑΡΚΟΒΗ ΜΑΡΙΑ του Σταύρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΙΡΙΣ - ΑΣΗΜΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Αριστοτέλη,ΒΛΑΣΣΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΓΚΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ του Ευσταθίου,ΚΑΡΑΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ του Χρήστου,ΚΟΥΜΠΑΡΕΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΑΥΡΟΜΜΑΤΗ ΚΑΙΡΟΥ του Παναγιώτου,Λαϊκή Ενότητα,ΑΥΓΕΡΙΝΟΥ-ΚΟΥΝΑΤΙΔΗ ΕΛΕΝΗ του Ηλία,ΓΙΑΝΚΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜΠΑΛΛΑ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΠΕΦΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΜέΡΑ25,ΑΓΓΕΛΟΥΣΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΒΛΑΧΟΣ ΙΩΑΝΝΗΣ του Μιλτιάδη,ΕΥΑΓΓΕΛΑΚΗΣ ΑΠΟΣΤΟΛΟΣ-ΗΛΙΑΣ του Ιωάννη,ΚΑΡΑΔΗΜΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΙΡΜΙΖΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΑΝΝΑ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΕΛΛΙΟΥ ΜΑΡΙΑ του Βλασίου,ΓΕΩΡΓΟΥΔΗΣ ΔΙΑΝΕΛΟΣ του Γεωργίου,ΠΑΠΑΠΟΣΤΟΛΟΥ ΗΛΙΑΣ του Μιχαήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΪΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΚΟΥΒΙΝΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΠΑΤΣΙΑΝΤΑΣ ΜΑΡΓΑΡΙΤΗΣ του Ρήγα
23 - Μαγνησίας,20 E.T. Δήμου Αλμυρού,510,350,1,1,2,348,59,2,6,7,1,14,1,27,21,202,1,13,55,48,36,110,7,66,10,0,0,0,0,0,0,0,0,37,6,0,5,3,1,27,5,1,10,9,0,1,0,2,1,1,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,5,0,2,1,1,1,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,3,4,3,3,0,1,0
23 - Μαγνησίας,21 E.T. Δήμου Αλμυρού,501,320,5,4,9,311,77,2,4,6,2,16,4,39,30,147,4,6,28,24,41,90,4,37,5,2,3,0,0,0,0,2,1,34,2,1,3,1,3,30,2,0,21,10,3,4,1,2,6,3,1,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,14,2,2,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,4,1,0,0,0,0,0,1,0,0,0
23 - Μαγνησίας,22 E.T. Δήμου Αλμυρού,314,198,0,0,0,198,38,3,4,1,2,4,0,20,17,122,0,20,19,8,10,105,2,18,21,3,5,0,0,0,0,17,0,8,1,2,1,0,0,6,1,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
23 - Μαγνησίας,23 E.T. Δήμου Αλμυρού,540,374,12,7,19,355,79,5,21,12,4,22,8,37,13,185,1,12,59,36,35,90,17,34,11,1,9,1,1,0,0,4,0,22,5,1,0,0,2,16,5,1,21,9,0,1,0,0,8,2,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,12,1,1,6,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,8,1,1,1,0,1,1,1,0,0,0
23 - Μαγνησίας,24 E.T. Δήμου Αλμυρού,255,152,1,0,1,151,20,2,2,2,0,8,0,8,5,98,0,16,19,6,18,66,12,36,3,0,2,0,0,0,1,2,0,12,1,0,1,0,0,10,0,0,8,8,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1,1,1,0,0,0,0,0,0,0,0
23 - Μαγνησίας,25 E.T. Δήμου Αλμυρού,424,284,4,1,5,279,65,6,3,6,3,4,1,42,16,145,5,18,41,25,17,99,3,29,15,4,7,2,0,0,0,5,0,23,2,3,0,1,0,19,5,1,9,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,1,1,0,3,0,1,0,0,0,0,2,0,0,0
23 - Μαγνησίας,26 E.T. Δήμου Αλμυρού,380,251,4,4,8,243,66,4,2,1,1,5,4,33,13,116,3,12,25,9,13,82,0,25,9,1,4,0,0,0,0,3,0,21,4,2,1,2,0,7,7,2,13,4,0,0,0,0,5,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,4,0,1,1,0,0,0,3,1,1,0
23 - Μαγνησίας,27 E.T. Δήμου Αλμυρού,220,141,2,1,3,138,16,0,4,1,0,1,0,6,2,92,0,45,28,14,6,50,8,15,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,17,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0
23 - Μαγνησίας,28 E.T. Δήμου Αλμυρού,330,192,1,0,1,191,46,3,2,6,1,0,1,30,18,115,0,33,33,34,17,47,6,24,5,0,2,2,0,0,0,0,0,7,2,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,3,1,4,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,1,2
23 - Μαγνησίας,29 E.T. Δήμου Αλμυρού,421,248,0,5,5,243,49,2,4,10,1,5,6,28,10,157,2,27,39,52,21,84,15,33,5,0,2,1,1,1,1,0,1,7,0,0,2,0,0,4,0,0,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,4,1,3,1,2,0,0,2,0,0,0,0,1,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
23 - Μαγνησίας,30 E.T. Δήμου Αλμυρού,375,229,3,2,5,224,95,18,7,5,15,13,6,38,17,68,0,2,14,34,6,41,1,8,4,0,3,0,2,0,1,1,0,34,9,1,2,4,1,25,4,2,6,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,1,1,0,0,0,0,1,0,1,0
23 - Μαγνησίας,31 E.T. Δήμου Αλμυρού,389,279,5,0,5,274,77,16,5,5,5,13,6,27,26,131,1,36,31,24,18,70,13,24,15,3,10,7,0,0,0,2,1,16,1,2,3,4,2,3,8,1,17,10,0,0,4,0,10,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,2,0,0,0
23 - Μαγνησίας,32 E.T. Δήμου Αλμυρού,361,259,5,1,6,253,77,2,3,6,1,4,1,5,7,116,9,3,2,1,9,4,3,0,16,0,2,0,1,0,0,1,0,18,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,3,0,0,0,2,0,0,0
23 - Μαγνησίας,33 E.T. Δήμου Αλμυρού,490,307,9,1,10,297,72,10,5,16,1,15,4,27,23,148,6,12,30,22,32,95,18,34,10,0,8,5,0,0,0,0,0,25,6,2,4,2,0,13,3,2,11,3,1,2,0,0,5,5,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,5,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,5,3,3,2,1,1,0,2,1,2,1
23 - Μαγνησίας,34 E.T. Δήμου Αλμυρού,496,287,5,2,7,280,65,4,9,9,5,7,3,36,20,130,1,14,23,21,37,70,13,28,13,0,10,6,0,0,0,0,0,24,4,0,1,3,1,15,5,0,10,4,1,2,1,1,1,1,1,3,2,1,0,0,0,1,1,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,15,3,1,10,1,0,0,1,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,3,0,0,1,1,1,0,1
23 - Μαγνησίας,35 E.T. Δήμου Αλμυρού,508,306,4,2,6,300,61,5,9,7,5,3,4,24,18,181,1,28,39,28,51,108,19,24,8,3,6,3,0,1,0,1,0,26,4,2,3,2,2,12,11,0,3,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,10,2,0,0,1,1,2,2,0,0,0,1,0,0,0
23 - Μαγνησίας,36 E.T. Δήμου Αλμυρού,229,158,2,1,3,155,46,3,3,3,3,2,1,11,7,86,1,12,41,5,5,37,0,44,1,1,0,0,1,0,0,0,0,16,8,0,2,1,1,10,0,2,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,37 E.T. Δήμου Αλμυρού,58,47,0,0,0,47,9,0,0,1,0,1,0,6,5,25,0,3,5,8,0,20,0,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,38 E.T. Δήμου Αλμυρού,265,175,7,2,9,166,35,1,1,2,0,7,0,10,6,78,1,8,21,15,3,44,3,34,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,12,4,1,23,15,4,5,0,4,12,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,4,0,1,0,0,0,0,2,1,0,0
23 - Μαγνησίας,39 E.T. Δήμου Αλμυρού,560,345,4,0,4,341,115,5,6,8,2,25,2,58,30,132,2,18,34,22,12,86,11,19,2,0,0,1,0,0,0,1,0,20,3,0,2,1,1,10,4,3,42,26,0,2,1,4,21,2,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,1,1,2,2,1,0,0,1,14,2,2,2,3,1,4,3,0,2,0,1,0,1,0
23 - Μαγνησίας,40 E.T. Δήμου Αλμυρού,503,286,1,1,2,284,62,1,3,5,0,10,7,23,5,140,0,16,25,23,18,79,0,57,11,1,8,0,0,0,0,7,2,27,5,1,12,1,1,19,4,0,17,11,3,0,2,1,8,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,1,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,7,3,0,1,1,0,0,1,0,0,0,3,0,0,0
23 - Μαγνησίας,41 E.T. Δήμου Αλμυρού,286,183,2,2,4,179,46,3,4,3,1,15,2,13,11,100,0,23,36,13,7,39,6,27,5,1,2,1,1,0,0,2,0,5,1,0,0,0,0,4,1,0,5,1,0,2,2,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,5,3,2,1
23 - Μαγνησίας,42 E.T. Δήμου Αλμυρού,475,280,1,2,3,277,80,2,2,2,1,36,5,47,15,133,0,12,36,38,19,92,6,16,5,0,4,0,0,0,0,3,0,12,3,0,0,5,1,7,0,2,20,11,2,1,1,2,9,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,6,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,4,1,2,2,2,1,1,3,1,0,1
23 - Μαγνησίας,43 E.T. Δήμου Αλμυρού,451,274,2,0,2,272,81,2,2,2,0,26,2,50,21,125,2,29,35,33,19,67,7,15,2,0,0,0,0,0,0,1,0,9,1,1,1,4,2,4,0,0,30,23,1,3,0,1,14,1,0,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,1,1,1,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,5,1,2,0,0,0,0,0,0,0,0
23 - Μαγνησίας,44 E.T. Δήμου Αλμυρού,454,265,3,0,3,262,91,10,6,7,3,15,6,42,25,97,2,9,21,33,17,60,3,20,4,2,2,2,0,0,0,0,0,13,0,2,6,0,3,6,2,1,36,22,2,4,3,2,15,3,1,3,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,1,1,1,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,3,0,1,1,0,0,0,0
23 - Μαγνησίας,45 E.T. Δήμου Αλμυρού,456,249,1,4,5,244,72,3,2,5,1,21,1,37,14,106,5,18,27,31,15,57,2,19,2,1,1,0,0,0,0,1,0,14,3,1,5,0,1,8,3,2,30,19,3,2,3,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,1,0,2,1,0,0,0,1,0,0,0
23 - Μαγνησίας,46 E.T. Δήμου Βόλου,505,340,8,1,9,331,108,14,6,17,9,33,6,26,33,133,1,18,46,22,38,57,29,54,16,4,12,4,0,0,3,1,0,15,3,0,5,5,0,1,6,1,8,0,2,3,2,0,5,2,0,5,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,20,1,2,11,4,4,3,4,4,0,0,0,0,0,0,0,3,1,0,0,0,1,2,1,0,0,0,0,9,1,2,0,2,1,1,2,2,1,1,8,1,3,5
23 - Μαγνησίας,47 E.T. Δήμου Βόλου,500,324,2,2,4,320,109,11,4,14,9,27,4,18,42,128,7,18,33,31,39,53,8,11,17,3,9,0,2,1,1,2,0,18,4,0,3,5,2,1,4,3,15,2,3,4,3,1,2,1,0,4,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,10,0,2,2,1,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,7,1,0,0,2,1,2,3,1,2,0,4,1,2,1
23 - Μαγνησίας,48 E.T. Δήμου Βόλου,535,370,4,5,9,361,111,7,6,12,9,32,4,30,35,152,5,35,55,24,39,54,11,11,25,3,22,1,0,1,2,3,0,16,4,0,2,3,2,1,6,3,10,3,1,2,2,0,4,2,1,2,0,1,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,1,0,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,13,0,2,0,4,3,4,2,1,1,0,11,4,7,1
23 - Μαγνησίας,49 E.T. Δήμου Βόλου,500,342,2,3,5,337,120,16,6,10,9,52,7,30,37,133,2,37,27,31,35,72,12,8,14,4,11,2,0,0,1,0,0,12,3,2,4,3,1,1,2,0,12,3,1,2,3,1,4,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,9,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,1,2,0,0,1,3,3,0,2,1,4,0,1,2
23 - Μαγνησίας,50 E.T. Δήμου Βόλου,500,299,5,2,7,292,87,7,6,8,10,31,0,18,32,127,2,17,42,31,35,51,15,15,14,0,10,4,0,0,0,0,0,10,4,0,2,1,0,1,4,1,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,2,1,5,2,3,2,3,2,0,0,0,0,1,0,0,3,0,0,0,0,1,3,1,0,1,0,1,15,3,4,1,0,2,4,2,0,1,1,5,2,3,2
