ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΖΑΧΑΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Αντωνίου,ΚΕΛΕΠΟΥΡΗ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΚΟΖΟΜΠΟΛΗ - ΑΜΑΝΑΤΙΔΗ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΙΝΕΑΣ ΠΕΤΡΟΣ του Νικολάου,ΠΑΤΣΑΡΙΝΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΧΑΡΙΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΞΗΣ) του Βύρωνα,Νέα Δημοκρατία,ΚΟΥΜΑΝΤΟΥ ΠΑΝΑΓΙΩΤΑ (ΠΙΠΙΝΑ) του Παναγή,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΣΑ) του Κυριάκου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΜΑΝΤΑΣ ΠΕΡΙΚΛΗΣ του Παντελή,ΝΤΙΝΤΑ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΣΑΜΑΡΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΡΥΣΟΜΑΛΛΗΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Παναγιώτη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΟΙΜΟΝΟΣ ΒΑΣΙΛΗΣ του Ιωάννη,ΚΕΤΣΕΑ ΦΡΙΝΤΑ του Θρασύβουλου,ΞΕΝΟΥΛΗ ΔΕΣΠΟΙΝΑ του Σπυρίδωνος,ΠΑΝΟΥΣΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Δημητρίου,ΡΟΥΣΣΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κίνημα Αλλαγής,ΑΛΕΥΡΑΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΑΝΤΩΝΟΠΟΥΛΟΣ ΑΓΓΕΛΟΣ του Νικολάου,ΒΑΡΕΛΑ ΒΑΣΙΛΙΚΗ του Νικήτα,ΓΕΡΟΝΙΚΟΛΟΣ ΜΕΝΕΛΑΟΣ του Κωνσταντίνου,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΝΤΟΥΡΑΤΖΗ (ΜΠΛΑΝΑ) ΑΘΗΝΑ του Αθανασίου,ΠΙΕΡΡΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,Κ.Κ.Ε.,ΚΑΝΤΖΙΛΙΕΡΗ ΧΡΙΣΤΙΝΑ - ΕΛΕΥΘΕΡΙΑ του Παναγιώτη,ΚΟΥΤΟΥΜΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σαράντου,ΚΟΥΦΑΛΑΚΟΥ ΕΥΑΓΓΕΛΙΑ του Παναγιώτη,ΛΑΜΠΡΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΜΥΡΝΗΣ ΑΡΓΥΡΙΟΣ του Αντωνίου,ΧΡΗΣΤΕΑ ΣΤΕΛΛΑ του Νικολάου,Ένωση Κεντρώων,ΑΡΓΥΡΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΚΑΡΥΔΗ ΕΥΔΟΚΙΑ - ΑΘΑΝΑΣΟΥΛΑ του Αντωνίου,ΜΠΑΚΑΣ ΦΩΤΙΟΣ του Αθανασίου,ΡΗΓΑ ΑΝΑΣΤΑΣΙΑ του Αντωνίου,ΧΡΙΣΤΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ισαάκ - Ευάγγελου,Ο.Κ.Δ.Ε.,ΠΑΠΑΘΑΝΑΣΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΡΑΝΤΖΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ηλία,ΚΑΠΕΤΑΝΑΚΗ ΓΑΡΥΦΑΛΛΙΑ του Αποστόλου,ΚΑΤΣΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΠΕΤΡΑΚΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαράλαμπου,Ελλήνων Συνέλευσις,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΗΛΙΑΣ του Σπήλιου,ΑΛΕΞΟΠΟΥΛΟΥ ΜΑΡΙΑ του Αθανασίου,ΓΕΩΡΓΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΚΑΤΣΙΡΕΑΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΑΜΨΩΝΑ ΑΘΗΝΑ του Σπυρίδωνος,ΣΩΦΡΟΝΑ ΜΑΡΙΑ του Χρήστου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΡΑΤΑΣΗ ΘΕΟΔΩΡΑ του Αδάμ,ΚΑΝΙΩΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδωνος,ΚΑΡΑΜΠΙΝΗΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΥΣΤΑΘΙΟΣ του Βασιλείου,ΣΠΑΘΗ ΜΑΡΙΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΒΑΡΣΟΥ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΥΓΕΝΙΟΣ του Ευσταθίου,Μ-Λ Κ.Κ.Ε.,ΚΑΤΣΑΦΑΔΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Παναγιώτη,Λαϊκή Ενότητα,ΔΕΤΑΣ ΠΟΥΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ - ΑΝΤΩΝΙΟΣ του Σπυρίδωνος,ΔΟΥΛΑΜΗ ΠΕΤΡΟΥΛΑ του Χαράλαμπου,ΜΗΤΣΗ ΜΑΡΙΑ του Δημητρίου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Ιωάννη,ΜέΡΑ25,ΑΛΕΞΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΑΚΑΒΑΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Στυλιανού,ΚΥΒΕΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΑΝΩΛΑΚΑΚΗ ΕΛΕΝΗ του Ιωάννη,ΣΑΡΔΕΛΗ ΜΑΡΙΑ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΔΑΡΑΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΚΑΣΙΜΑΤΗ ΕΛΕΥΘΕΡΙΑ του Χαράλαμπου,ΛΙΒΑΣ ΠΕΡΙΚΛΗΣ του Βασιλείου,ΤΣΑΝΤΟΥΛΗ ΗΛΕΚΤΡΑ του Γεωργίου,ΧΑΡΜΠΙΛΑΣ ΒΑΣΙΛΕΙΟΣ του Περικλή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΑΛΛΗΣ ΑΘΑΝΑΣΙΟΣ-ΓΕΩΡΓΙΟΣ (ΑΚΗΣ) του Νικολάου
46 - Μεσσηνίας,19 E.T. Δήμου Δυτικής Μάνης,517,228,1,2,3,225,71,10,31,28,19,1,2,29,89,13,14,33,11,6,0,50,10,4,4,2,2,4,19,8,4,4,5,3,0,2,8,3,0,2,0,0,0,5,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,3,1,2,3,5,1,0,0,1,0,1,0,1,0,0,0,0,0,8,1,1,3,0,1,1,1,0,1,0,0,1,0
46 - Μεσσηνίας,20 E.T. Δήμου Δυτικής Μάνης,440,252,5,4,9,243,76,8,42,23,13,3,3,23,94,20,15,31,9,14,0,37,7,1,2,2,1,2,14,7,0,2,8,1,0,1,12,0,2,1,0,0,0,5,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,16,0,0,8,6,4,3,1,0,0,0,1,5,3
46 - Μεσσηνίας,21 E.T. Δήμου Δυτικής Μάνης,168,90,0,0,0,90,33,2,9,17,10,4,1,18,33,7,5,12,5,9,0,16,1,1,1,0,0,0,1,1,0,0,0,0,0,0,8,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,9,0,0,9,1,1,0,0,0,0,0,0,1,1
46 - Μεσσηνίας,22 E.T. Δήμου Δυτικής Μάνης,391,168,8,1,9,159,50,5,12,18,9,10,2,25,67,14,5,23,11,1,0,31,4,0,3,0,1,1,8,3,1,1,3,3,1,0,13,1,4,2,0,2,0,6,1,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,10,0,0,1,0,0,0,0,0,1,0
46 - Μεσσηνίας,23 E.T. Δήμου Δυτικής Μάνης,466,222,4,1,5,217,55,10,15,17,13,5,2,19,90,15,12,29,12,4,27,33,3,1,1,0,0,1,7,2,0,0,1,0,1,0,37,6,14,2,3,0,2,22,5,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,6,0,2,2,0,0,0,0,0,4,2
46 - Μεσσηνίας,24 E.T. Δήμου Δυτικής Μάνης,233,121,2,0,2,119,29,3,5,12,5,1,2,17,68,2,4,35,3,18,13,15,1,0,1,0,0,1,7,4,2,0,1,1,1,0,3,1,1,0,0,0,0,1,4,1,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46 - Μεσσηνίας,25 E.T. Δήμου Δυτικής Μάνης,207,61,1,0,1,60,13,2,8,6,3,0,0,1,23,2,2,4,4,1,2,18,3,1,1,0,0,0,2,0,1,1,1,0,1,0,8,1,1,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,0,2,1,0,1,4,4
46 - Μεσσηνίας,26 E.T. Δήμου Δυτικής Μάνης,221,106,0,0,0,106,33,0,12,11,4,5,0,19,45,4,10,3,1,3,4,40,4,2,1,0,0,1,12,7,0,0,0,6,0,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,27 E.T. Δήμου Δυτικής Μάνης,133,72,0,0,0,72,16,1,2,5,4,2,0,12,14,0,0,2,2,4,4,6,0,0,0,0,0,0,2,2,1,0,0,0,0,0,37,3,25,3,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,28 E.T. Δήμου Δυτικής Μάνης,197,53,0,2,2,51,19,2,3,7,7,0,0,6,16,0,3,8,6,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,7,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,1,1,1,0,0,0,0,0
46 - Μεσσηνίας,29 E.T. Δήμου Δυτικής Μάνης,319,112,1,1,2,110,22,3,1,4,8,1,0,8,52,7,5,33,10,5,7,22,6,4,1,0,0,1,4,1,0,0,1,1,1,0,22,9,6,5,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,30 E.T. Δήμου Καλαμάτας,486,212,2,0,2,210,95,6,5,20,28,7,1,52,75,5,12,32,18,27,0,20,6,4,1,0,0,1,16,12,1,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,10,6,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0
46 - Μεσσηνίας,31 E.T. Δήμου Καλαμάτας,479,215,7,2,9,206,58,9,2,16,10,4,2,38,70,3,7,23,22,18,14,17,25,7,3,5,4,14,28,15,0,0,18,8,0,3,4,0,1,0,0,0,2,1,4,1,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,0,7,4,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,1,1,1,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,32 E.T. Δήμου Καλαμάτας,478,236,4,1,5,231,64,8,5,17,11,5,3,34,103,5,10,49,8,23,0,24,7,4,1,2,0,4,26,15,2,2,9,5,0,1,6,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,10,7,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,4,3
46 - Μεσσηνίας,33 E.T. Δήμου Καλαμάτας,323,131,0,0,0,131,43,5,2,7,15,2,3,21,66,9,3,16,16,51,0,10,2,0,0,1,0,1,7,3,0,0,1,2,0,0,7,4,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,1,1
46 - Μεσσηνίας,34 E.T. Δήμου Καλαμάτας,294,134,2,1,3,131,50,10,3,4,12,7,1,33,42,9,3,21,5,12,0,14,10,1,1,1,0,0,13,11,1,1,3,4,0,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,3,2
46 - Μεσσηνίας,35 E.T. Δήμου Καλαμάτας,169,96,1,0,1,95,19,2,1,6,5,0,1,10,47,7,11,11,15,10,12,19,3,1,2,0,0,2,16,6,0,1,10,8,0,2,5,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0
46 - Μεσσηνίας,36 E.T. Δήμου Καλαμάτας,481,248,4,0,4,244,61,8,3,19,28,2,3,30,128,13,20,43,44,65,0,29,11,6,1,2,0,7,15,7,2,0,7,1,0,1,5,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,4,1,2,0,0,0,0,0,2,1,1,0,0,1,0,0,8,2,0,2,2,2,2,0,0,1,1,0,2,1
46 - Μεσσηνίας,37 E.T. Δήμου Καλαμάτας,202,115,2,1,3,112,34,5,1,11,9,8,1,14,55,1,9,27,21,17,6,8,5,2,1,0,0,2,4,0,0,0,4,0,0,0,10,0,9,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,38 E.T. Δήμου Καλαμάτας,526,300,2,0,2,298,101,11,2,17,34,8,6,45,143,15,30,52,21,29,0,57,9,6,0,1,2,3,16,7,1,3,5,1,4,6,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,6,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,0,1,4,0,0,2,2,1,3,0
46 - Μεσσηνίας,39 E.T. Δήμου Καλαμάτας,510,266,3,0,3,263,71,7,2,7,15,13,1,43,131,21,19,72,32,24,0,36,5,2,1,0,1,2,18,10,0,0,5,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,1,1,2,0,0,0,0,0,4,1,2,0,0,0,0,0,13,2,1,1,5,4,3,1,0,0,0,1,1,1
46 - Μεσσηνίας,40 E.T. Δήμου Καλαμάτας,516,288,4,2,6,282,78,6,5,10,23,7,2,39,126,16,23,48,24,25,0,34,18,3,2,3,1,6,14,9,1,1,5,1,1,0,15,3,5,2,0,2,3,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,7,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,1,1,2,0,0,0,0,0,1,0
46 - Μεσσηνίας,41 E.T. Δήμου Καλαμάτας,416,202,3,0,3,199,53,4,3,7,17,6,0,27,104,20,11,43,18,20,0,35,5,4,2,0,1,1,6,3,0,0,3,1,0,0,9,5,4,1,1,1,1,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,9,4,3,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,1,1,2,1,0,0,0,0,0,0,1,1
46 - Μεσσηνίας,42 E.T. Δήμου Καλαμάτας,247,105,0,0,0,105,21,0,0,2,10,2,1,13,59,5,5,26,9,23,0,14,2,1,0,0,0,1,2,0,0,0,0,0,0,0,8,2,6,2,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,2,2
46 - Μεσσηνίας,43 E.T. Δήμου Καλαμάτας,223,102,2,1,3,99,14,5,2,0,3,1,0,2,59,6,19,26,11,24,0,8,6,4,2,0,0,2,3,2,0,0,2,0,0,2,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,44 E.T. Δήμου Καλαμάτας,263,155,5,1,6,149,50,6,2,18,12,4,0,35,60,8,8,26,18,22,7,12,4,3,1,0,1,0,7,5,0,0,6,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,16,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
46 - Μεσσηνίας,45 E.T. Δήμου Καλαμάτας,419,254,4,3,7,247,68,6,2,15,14,14,3,34,108,14,11,61,13,13,11,31,4,0,1,0,0,1,9,4,0,2,2,0,0,0,12,3,2,2,0,0,0,2,2,1,2,1,0,0,0,0,1,0,1,0,1,0,5,4,0,0,0,0,2,0,15,3,1,3,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,4,1,0,5,3,1,0,1,1,0,0,5,2
46 - Μεσσηνίας,46 E.T. Δήμου Καλαμάτας,409,167,1,1,2,165,77,9,6,16,34,12,3,37,55,3,10,29,16,2,0,22,6,3,1,2,1,3,6,3,0,0,0,3,0,3,6,1,3,0,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1,1,4,0,0,1,1,0,2,1
46 - Μεσσηνίας,47 E.T. Δήμου Καλαμάτας,459,180,2,1,3,177,52,2,2,2,25,9,2,27,96,29,18,17,12,17,10,32,6,0,0,1,1,3,5,3,1,1,0,1,0,0,3,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,1,0,0,1,0,1,1
46 - Μεσσηνίας,48 E.T. Δήμου Καλαμάτας,188,99,1,1,2,97,29,2,4,2,9,5,0,15,39,3,5,20,10,11,0,13,2,0,0,0,0,0,17,3,1,0,13,7,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,49 E.T. Δήμου Καλαμάτας,439,288,4,1,5,283,104,7,4,15,59,14,7,37,99,12,29,34,15,16,0,38,17,4,3,3,1,8,14,10,2,0,7,3,0,0,18,3,1,5,5,2,5,3,5,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3,2,6,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,2,1,2,3,0,2,0,2,0,2,2
46 - Μεσσηνίας,50 E.T. Δήμου Καλαμάτας,400,246,4,4,8,238,72,8,5,8,30,11,2,29,104,13,29,39,25,12,0,41,9,3,1,0,0,4,11,4,2,1,6,0,0,1,20,6,3,5,5,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,1,0,9,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,5,2,0,1,1,0,1,0,0,0,0,0,2,2
46 - Μεσσηνίας,51 E.T. Δήμου Καλαμάτας,418,252,2,1,3,249,69,5,0,21,20,15,2,30,113,12,27,50,14,22,16,35,12,3,4,0,1,3,7,3,0,1,1,4,0,0,11,5,4,0,0,0,2,1,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,3,1,1,4,5,2,1,1,0,0,0,4,2
46 - Μεσσηνίας,52 E.T. Δήμου Καλαμάτας,402,221,0,1,1,220,56,7,3,12,8,16,0,29,104,32,13,31,14,21,0,28,12,3,3,0,0,5,9,4,0,1,3,0,0,0,16,3,3,0,1,0,3,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,6,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,1,0,0,1,1,0,0,0,0,3,1
46 - Μεσσηνίας,53 E.T. Δήμου Καλαμάτας,403,282,6,2,8,274,50,8,3,9,11,9,3,29,171,13,33,84,39,54,0,38,14,4,3,2,0,6,3,3,0,0,1,1,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,3,3,1,1,1,0,0,0,2,1
46 - Μεσσηνίας,54 E.T. Δήμου Καλαμάτας,391,272,0,2,2,270,73,5,1,2,22,5,7,5,153,10,34,68,40,47,17,40,8,4,2,2,0,4,10,7,0,3,4,2,3,0,3,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,10,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,3,2,2,1,0,0,0,1,2,1
46 - Μεσσηνίας,55 E.T. Δήμου Καλαμάτας,287,166,1,0,1,165,38,3,2,5,11,3,1,24,92,11,13,35,10,29,0,31,15,5,0,1,0,13,7,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,2,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1
46 - Μεσσηνίας,56 E.T. Δήμου Καλαμάτας,294,165,5,0,5,160,59,4,4,10,10,9,2,38,66,12,10,19,2,28,0,20,1,1,1,0,0,0,6,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,11,3,1,4,3,3,0,0,0,0,0,4,1,0,0,0,0,0,0,6,2,0,2,3,3,0,0,0,0,0,0,2,2
46 - Μεσσηνίας,57 E.T. Δήμου Καλαμάτας,379,240,6,0,6,234,98,5,6,25,19,12,3,69,89,11,13,25,22,22,0,34,3,1,0,0,0,1,8,5,1,0,3,1,0,0,14,1,0,1,1,0,2,3,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,2,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,3,2,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,58 E.T. Δήμου Καλαμάτας,470,271,1,3,4,267,105,6,5,27,20,21,0,74,104,18,19,41,23,16,0,32,1,1,0,0,0,1,17,8,0,0,6,0,2,1,15,3,3,0,2,0,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,1,4,4,1,1,0,1,0,0,2,1
46 - Μεσσηνίας,59 E.T. Δήμου Καλαμάτας,354,216,3,1,4,212,54,6,1,11,11,5,3,29,108,8,21,43,10,44,11,34,7,1,0,0,0,1,6,4,0,1,3,0,0,1,17,2,5,1,3,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,4,2,2,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,1
